variables,type,units,values,description
rotorse.rp.powercurve.Omega_spline,output,rpm,"[5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.
 5.         5.         5.         5.         5.         5.00000561
 5.01908661 5.06297582 5.11381445 5.17410995 5.24973748 5.33464692
 5.42278814 5.508111   5.58724192 5.66578462 5.74432732 5.82287002
 5.90141271 5.97995541 6.05849811 6.13704081 6.21595887 6.29570016
 6.37594292 6.45635352 6.53659834 6.61634376 6.69525617 6.77300194
 6.84924746 6.92365911 7.00054802 7.08702234 7.17779596 7.26716726
 7.34943461 7.41889638 7.46985095 7.49659668 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093]",omega
rotorse.rp.gust.V_gust,output,m/s,[19.72022518],gust wind speed
rotorse.rp.cdf.F,output,m/s,"[0.06824543 0.07317592 0.07825729 0.08348677 0.08886153 0.09437864
 0.10003514 0.10582799 0.11175409 0.1178103  0.12399341 0.13030017
 0.13672727 0.14327136 0.14992906 0.15669694 0.16357153 0.17054933
 0.17762681 0.18480043 0.19206659 0.19942169 0.20686212 0.21438424
 0.2219844  0.22965893 0.23740419 0.24521648 0.25309215 0.26102753
 0.26901895 0.27706275 0.28515528 0.29329292 0.30147203 0.30968902
 0.31794031 0.32622234 0.33453157 0.3428645  0.35121765 0.35958758
 0.36797088 0.37636417 0.38476413 0.39316746 0.4015709  0.40997127
 0.41836538 0.42675014 0.43512249 0.4434794  0.45181794 0.46013518
 0.4684283  0.4766945  0.48493104 0.49313527 0.50130457 0.50943638
 0.51752823 0.5255777  0.53358242 0.54154011 0.54944853 0.55730553
 0.56510902 0.57285696 0.5805474  0.58817845 0.59574828 0.60325515
 0.61069736 0.6180733  0.62538141 0.63262022 0.63978832 0.64688436
 0.65390705 0.6608552  0.66772765 0.67452333 0.68124122 0.68788039
 0.69443994 0.70091905 0.70731698 0.71363303 0.71986656 0.726017
 0.73208386 0.73806666 0.74396502 0.7497786  0.75550712 0.76115035
 0.76670812 0.77218031 0.77756684 0.78286771 0.78808294 0.79321261
 0.79825684 0.80321582 0.80808974 0.81287887 0.81758352 0.82220402
 0.82674074 0.83119412 0.8355646  0.83985268 0.84405887 0.84818374
 0.85222787 0.85619189 0.86007643 0.86388218 0.86760984 0.87126013
 0.8748338  0.87833164 0.88175443 0.88510299 0.88837815 0.89158077
 0.89471172 0.89777188 0.90076215 0.90368344 0.90653669 0.90932282
 0.91204279 0.91469754 0.91728805 0.91981528 0.92228022 0.92468385
 0.92702715 0.92931111 0.93153673 0.93370501 0.93581694 0.93787353
 0.93987575 0.94182462 0.94372112 0.94556625 0.94736099 0.94910633
 0.95080325 0.95245271 0.9540557  0.95561316 0.95712606 0.95859534
 0.96002195 0.96140681 0.96275085 0.96405498 0.96532012 0.96654715
 0.96773696 0.96889042 0.97000841 0.97109177 0.97214134 0.97315796
 0.97414245 0.97509561 0.97601824 0.97691112 0.97777502 0.97861071
 0.97941893 0.98020041 0.98095587 0.98168602 0.98239156 0.98307317
 0.98373152 0.98436726 0.98498105 0.9855735  0.98614525 0.98669689
 0.98722901 0.98774221 0.98823704 0.98871406 0.98917382 0.98961684
 0.99004365 0.99045474 0.99085061 0.99123175 0.99159863 0.9919517
 0.99229141 0.99261821]",magnitude of wind speed at each z location
rotorse.rp.AEP,output,kW*h,[77903778.14318854],annual energy production
rotorse.stall_check.no_stall_constraint,output,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]","Constraint, ratio between angle of attack plus a margin and stall angle"
rotorse.stall_check.stall_angle_along_span,output,deg,"[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06
 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06
 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06]",Stall angle along blade span
rotorse.rs.aero_gust.loads_r,output,m,"[  3.97         8.00448276  12.03896552  16.07344828  20.10793103
  24.14241379  28.17689655  32.21137931  36.24586207  40.28034483
  44.31482759  48.34931034  52.3837931   56.41827586  60.45275862
  64.48724138  68.52172414  72.5562069   76.59068966  80.62517241
  84.65965517  88.69413793  92.72862069  96.76310345 100.79758621
 104.83206897 108.86655172 112.90103448 116.93551724 120.97      ]",
rotorse.rs.aero_gust.loads_Px,output,N/m,"[  383.70378807   477.87595139   855.75955393  1550.19301315
  2481.3121905   3372.79552908  4462.50165336  5450.68139489
  6370.06404672  7239.68499783  7943.38118928  8675.75317533
  9663.10750955 10570.85654299 11188.83035798 11924.71265026
 13123.47900603 14592.35707732 15895.42762487 16874.17324557
 17415.90221798 17847.47380693 18275.72076571 18769.81015457
 19171.74743544 19363.41519785 19237.20884145 18714.06491922
 17582.81044841  4924.68740177]",
rotorse.rs.aero_gust.loads_Py,output,N/m,"[   78.0129745     81.0609319   -130.04526237  -715.51183375
 -1409.83031257 -1859.01654101 -2318.42011553 -2619.9560507
 -2862.49121217 -3076.58922891 -3166.30254309 -3262.36267318
 -3465.825695   -3632.28416396 -3627.62909943 -3665.53340565
 -3879.82196459 -4205.79965404 -4432.51880605 -4492.26791165
 -4439.87797072 -4324.14380352 -4215.80972266 -4143.37513774
 -4074.21364731 -3984.90847752 -3829.17287873 -3579.583238
 -3148.14000724  -962.53937597]",
rotorse.rs.aero_gust.loads_Pz,output,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",
rotorse.rs.curvature.s,output,m,"[  3.97         8.00462853  12.03940879  16.07427967  20.10910592
  24.14378821  28.17830743  32.21279021  36.24727437  40.28176127
  44.31625099  48.35076171  52.38545113  56.42066517  60.45639426
  64.49244032  68.52906513  72.56719303  76.60690249  80.64768088
  84.68892098  88.73109075  92.77480765  96.81989863 100.86603717
 104.91326438 108.96214868 113.01274247 117.06506464 121.11887121]",cumulative path length along blade
rotorse.rs.curvature.blades_cg_hubcc,output,m,[2.45215498],cg of all blades relative to hub along shaft axis. Distance is should be interpreted as negative for upwind and positive for downwind turbines
rotorse.rs.tot_loads_gust.Px_af,output,N/m,"[ 2116.56426842  2296.30290713  2574.8470772   3335.21489753
  4079.35151744  4754.13108899  5728.2461831   6669.18064271
  7587.56370631  8499.08533737  9246.18846344 10038.52950347
 11131.56541645 12140.65942517 12814.74858102 13604.14440419
 14904.03796112 16390.71481084 17642.12707144 18503.6729558
 18956.26464725 19272.2224651  19509.19008369 19748.94754901
 19888.80771829 19886.17190656 19618.22043866 18998.13453747
 17763.84176029  4969.8711542 ]",total distributed loads in airfoil x-direction
rotorse.rs.tot_loads_gust.Py_af,output,N/m,"[  671.73299982   720.43062631   541.69414974    55.14422037
  -598.85253934 -1055.23460981 -1493.31542185 -1786.91182297
 -2051.34644654 -2311.62286994 -2472.76364813 -2636.07195797
 -2891.0689516  -3121.81684926 -3199.10506418 -3317.94003632
 -3605.61975285 -4007.93010129 -4323.19039914 -4486.34839759
 -4557.70945207 -4604.14489433 -4685.07348428 -4784.15208572
 -4820.52028884 -4742.73788903 -4553.6549942  -4227.79210222
 -3664.98561244 -1070.54807308]",total distributed loads in airfoil y-direction
rotorse.rs.tot_loads_gust.Pz_af,output,N/m,"[-23450.7220325  -12734.12548431  -4737.35027087    169.2307491
   3057.26962878   4246.59313836   4824.32197778   5421.85833621
   6198.00109498   7228.26008963   8273.56999836   9161.74945178
   9982.15980566  10692.69057468  11263.84535289  11780.32216196
  12245.25481443  11910.42226169  11338.79830065  10608.11842986
  10122.56573375   9393.83155251   8229.71685417   6766.7721781
   5239.04040085   4001.57333827   3036.38740073   2310.49331801
   1520.5590731     362.64954553]",total distributed loads in airfoil z-direction
rotorse.rs.frame.root_F,output,N,[-1442552.81524649  -360037.97560325   645548.8946541 ],Blade root forces in blade c.s.
rotorse.rs.frame.root_M,output,N*m,[ 2.31261405e+07 -1.01645716e+08 -0.00000000e+00],Blade root moment in blade c.s.
rotorse.rs.frame.flap_mode_shapes,output,,"[[-7.62890471e-02  2.78226658e+00 -3.15608952e+00  2.15177411e+00
  -7.01662126e-01]
 [-5.60941125e-01  1.00017986e+00 -8.62561821e+00  1.66958053e+01
  -7.50942587e+00]
 [-2.84045600e+00  3.06224485e+01 -8.13268565e+01  7.64406405e+01
  -2.18957765e+01]
 [-2.07387557e-01 -2.32264241e+01  1.11185846e+02 -1.66595148e+02
   7.98431140e+01]
 [ 2.32768856e+01 -1.73387104e+02  4.52679063e+02 -4.97161669e+02
   1.95592825e+02]]","6-degree polynomial coefficients of mode shapes in the flap direction (x^2..x^6, no linear or constant term)"
rotorse.rs.frame.edge_mode_shapes,output,,"[[-4.10213305e-02  5.22621999e+00 -1.08972389e+01  1.02418258e+01
  -3.52978561e+00]
 [-1.58645901e+00  6.50019059e+00 -1.86431710e+01  2.45843111e+01
  -9.85487164e+00]
 [-1.39203978e+00  2.61838071e+01 -8.14635582e+01  8.54006959e+01
  -2.77289050e+01]
 [-5.59159605e+00  1.68714945e+01  1.02157717e+01 -6.15724120e+01
   4.10767420e+01]
 [ 2.22789554e+01 -1.68265733e+02  4.42858612e+02 -4.88779851e+02
   1.92908016e+02]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
rotorse.rs.frame.all_mode_shapes,output,,"[[-7.62890471e-02  2.78226658e+00 -3.15608952e+00  2.15177411e+00
  -7.01662126e-01]
 [-4.10213305e-02  5.22621999e+00 -1.08972389e+01  1.02418258e+01
  -3.52978561e+00]
 [-5.60941125e-01  1.00017986e+00 -8.62561821e+00  1.66958053e+01
  -7.50942587e+00]
 [-1.58645901e+00  6.50019059e+00 -1.86431710e+01  2.45843111e+01
  -9.85487164e+00]
 [-2.84045600e+00  3.06224485e+01 -8.13268565e+01  7.64406405e+01
  -2.18957765e+01]
 [-1.39203978e+00  2.61838071e+01 -8.14635582e+01  8.54006959e+01
  -2.77289050e+01]
 [-2.07387557e-01 -2.32264241e+01  1.11185846e+02 -1.66595148e+02
   7.98431140e+01]
 [-5.59159605e+00  1.68714945e+01  1.02157717e+01 -6.15724120e+01
   4.10767420e+01]
 [ 2.32768856e+01 -1.73387104e+02  4.52679063e+02 -4.97161669e+02
   1.95592825e+02]
 [ 2.22789554e+01 -1.68265733e+02  4.42858612e+02 -4.88779851e+02
   1.92908016e+02]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
rotorse.rs.frame.flap_mode_freqs,output,Hz,[0.53137356 1.63349748 3.30689913 5.69509147 8.7658978 ],Frequencies associated with mode shapes in the flap direction
rotorse.rs.frame.edge_mode_freqs,output,Hz,[ 0.74452458  2.22686495  4.44899491  7.60472782 11.2732201 ],Frequencies associated with mode shapes in the edge direction
rotorse.rs.frame.freqs,output,Hz,"[0.53137356 0.74452458 1.63349748 2.22686495 3.30689913 3.89475391
 4.44899491 5.69509147 6.77451285 7.60472782]","ration of 2nd and 1st natural frequencies, should be ratio of edgewise to flapwise"
rotorse.rs.frame.freq_distance,output,,[1.40113216],"ration of 2nd and 1st natural frequencies, should be ratio of edgewise to flapwise"
rotorse.rs.frame.dx,output,m,"[-0.00000000e+00  5.74225778e-03  2.39731798e-02  5.84217578e-02
  1.17256682e-01  2.11994743e-01  3.52131956e-01  5.44745960e-01
  7.97193987e-01  1.11496369e+00  1.49964164e+00  1.95307677e+00
  2.47975913e+00  3.08284267e+00  3.76470865e+00  4.53090170e+00
  5.38792326e+00  6.34088772e+00  7.39512346e+00  8.55498828e+00
  9.82323393e+00  1.12044637e+01  1.27069048e+01  1.43404211e+01
  1.61136136e+01  1.80320579e+01  2.00933824e+01  2.22843570e+01
  2.45722333e+01  2.69108961e+01]",deflection of blade section in airfoil x-direction
rotorse.rs.frame.dy,output,m,"[ 0.00000000e+00 -1.37172089e-03 -6.14593078e-03 -1.72204172e-02
 -4.03163750e-02 -8.27528770e-02 -1.49945748e-01 -2.44170766e-01
 -3.65965219e-01 -5.14044778e-01 -6.85770001e-01 -8.78745456e-01
 -1.09122255e+00 -1.32137257e+00 -1.56736041e+00 -1.82764940e+00
 -2.10075513e+00 -2.38535331e+00 -2.68072490e+00 -2.98677242e+00
 -3.30370302e+00 -3.63099154e+00 -3.96673215e+00 -4.30852986e+00
 -4.65472182e+00 -5.00413753e+00 -5.35578938e+00 -5.70874515e+00
 -6.06226979e+00 -6.41619963e+00]",deflection of blade section in airfoil y-direction
rotorse.rs.frame.dz,output,m,"[-0.00000000e+00 -6.41523297e-05 -1.47826407e-04 -2.42735640e-04
 -3.60450591e-04 -4.90105842e-04 -6.24193067e-04 -7.56514954e-04
 -8.82973287e-04 -1.00115015e-03 -1.11071710e-03 -1.21319994e-03
 -1.30996697e-03 -1.40143812e-03 -1.48763251e-03 -1.56815797e-03
 -1.64227176e-03 -1.71003747e-03 -1.77212061e-03 -1.82863539e-03
 -1.87942151e-03 -1.92486385e-03 -1.96666340e-03 -2.00675437e-03
 -2.04606589e-03 -2.08401870e-03 -2.11879327e-03 -2.14981659e-03
 -2.17358228e-03 -2.18846820e-03]",deflection of blade section in airfoil z-direction
rotorse.rs.frame.EI11,output,N*m**2,"[1.52443283e+11 1.24809771e+11 7.93582047e+10 4.47506495e+10
 2.66165344e+10 2.06200085e+10 1.73426783e+10 1.45635517e+10
 1.26341950e+10 1.20529728e+10 1.10279157e+10 9.14449553e+09
 8.07516572e+09 7.18179308e+09 5.78431972e+09 4.65284753e+09
 3.88233952e+09 3.06529840e+09 2.46298902e+09 1.99682258e+09
 1.53532069e+09 1.10686382e+09 7.62606833e+08 5.14076186e+08
 3.26142113e+08 2.06038285e+08 1.19687670e+08 5.91283002e+07
 2.21783786e+07 1.85982106e+05]",stiffness w.r.t principal axis 1
rotorse.rs.frame.EI22,output,N*m**2,"[1.52569847e+11 1.31397227e+11 1.04335562e+11 8.50157037e+10
 6.75844585e+10 5.41873489e+10 4.43278242e+10 3.67201822e+10
 3.17859280e+10 2.83873299e+10 2.51530744e+10 2.22974752e+10
 2.02005711e+10 1.82886596e+10 1.64571370e+10 1.48170115e+10
 1.33047802e+10 9.87849401e+09 6.72387975e+09 4.08384044e+09
 2.88570631e+09 2.18090486e+09 1.61868701e+09 1.02175767e+09
 6.76825352e+08 4.45962291e+08 2.90306398e+08 1.80401938e+08
 8.87627836e+07 1.60334434e+06]",stiffness w.r.t principal axis 2
rotorse.rs.frame.alpha,output,deg,"[57.79401416 46.72076672 36.28488474 31.3286226  29.36065068 30.64322111
 30.19859078 26.78730963 22.17468783 19.93411277 17.40005997 13.29671681
 10.90717945  9.05622757  6.67869307  4.89731956  3.78641102  2.98285681
  2.21086089  1.28799133 -0.54696622 -2.46811778 -3.99077755 -5.76842045
 -6.18602251 -5.79362321 -4.66131098 -3.17862039 -2.03606861 -0.66070562]",Angle between blade c.s. and principal axes
rotorse.rs.frame.M1,output,N*m,"[-5.98195106e+07 -5.62836094e+07 -6.64759351e+07 -7.05827968e+07
 -6.95772063e+07 -6.58985068e+07 -6.15895562e+07 -5.82702095e+07
 -5.53425448e+07 -5.16954261e+07 -4.75388947e+07 -4.33886521e+07
 -3.91200372e+07 -3.48340794e+07 -3.06831631e+07 -2.67038690e+07
 -2.29539908e+07 -1.94671280e+07 -1.62525872e+07 -1.33154013e+07
 -1.06476743e+07 -8.25732529e+06 -6.17187523e+06 -4.39374324e+06
 -2.93513058e+06 -1.79152213e+06 -9.38867576e+05 -3.65501910e+05
 -6.53977317e+04  3.62807328e+00]",distribution along blade span of bending moment w.r.t principal axis 1
rotorse.rs.frame.M2,output,N*m,"[ 8.53715662e+07  8.05525859e+07  6.40909039e+07  4.99505863e+07
  4.08328230e+07  3.57569423e+07  3.19627962e+07  2.63175324e+07
  1.93794771e+07  1.37948589e+07  9.85273202e+06  5.84255368e+06
  2.61374039e+06  7.21547558e+05 -7.41464771e+05 -1.80770178e+06
 -2.28443992e+06 -2.37510977e+06 -2.28990813e+06 -2.14037955e+06
 -2.03063940e+06 -1.91189038e+06 -1.67757142e+06 -1.36824203e+06
 -9.93646004e+05 -6.09749079e+05 -3.04094238e+05 -1.08452986e+05
 -1.78356304e+04  2.20555078e-01]",distribution along blade span of bending moment w.r.t principal axis 2
rotorse.rs.frame.F2,output,N,"[ 878463.09070994  875216.48772577 1084147.24431606 1213206.87416459
 1265222.04282348 1271816.90125707 1263695.45400507 1270597.9265874
 1282964.70449672 1276951.33493157 1254916.78276878 1227167.00590439
 1188835.00728478 1141010.8989812  1087525.26592524 1029309.84249453
  966732.84477618  899244.74688706  826889.33094952  750409.43740061
  670309.65672212  587607.64468953  504719.30559975  422240.93460082
  341888.06133521  264624.05853711  188994.85204905  114680.42980513
   42913.83194234   -1316.30228986]",distribution along blade span of force w.r.t principal axis 2
rotorse.rs.frame.F3,output,N,"[6.45548895e+05 7.18542444e+05 7.53786615e+05 7.63001611e+05
 7.56492983e+05 7.41759334e+05 7.23461114e+05 7.02792103e+05
 6.79352049e+05 6.52268046e+05 6.20997123e+05 5.85825884e+05
 5.47208008e+05 5.05501855e+05 4.61210237e+05 4.14724602e+05
 3.66259226e+05 3.17531413e+05 2.70632141e+05 2.26359927e+05
 1.84541147e+05 1.45171873e+05 1.09620932e+05 7.93694043e+04
 5.51507899e+04 3.65102481e+04 2.23129865e+04 1.15270404e+04
 3.79888519e+03 1.79625204e-11]",axial resultant along blade span
rotorse.rs.strains.strainU_spar,output,,"[-1.48643574e-03 -1.84970423e-03 -2.18740841e-03 -2.71763524e-03
 -3.54213867e-03 -3.95670012e-03 -4.03814991e-03 -4.08352637e-03
 -4.03219001e-03 -3.77422828e-03 -3.53687823e-03 -3.54665258e-03
 -3.41987447e-03 -3.28579132e-03 -3.28925411e-03 -3.27064590e-03
 -3.13168462e-03 -3.06082890e-03 -2.94371162e-03 -2.75788196e-03
 -2.63081423e-03 -2.58616848e-03 -2.59710963e-03 -2.59823492e-03
 -2.58512063e-03 -2.32810973e-03 -1.93380966e-03 -1.38920267e-03
 -6.00111973e-04  1.00890381e-06]","strain in spar cap on upper surface at location xu,yu_strain with loads P_strain"
rotorse.rs.strains.strainL_spar,output,,"[ 1.47606029e-03  1.77037064e-03  2.17262982e-03  2.83594577e-03
  3.46108692e-03  3.48816718e-03  3.46696382e-03  3.55410930e-03
  3.58762955e-03  3.33379138e-03  3.19044112e-03  3.25021635e-03
  3.14229398e-03  3.03240356e-03  3.06404101e-03  3.06284426e-03
  2.95002372e-03  2.89594843e-03  2.80313770e-03  2.64628091e-03
  2.54057266e-03  2.50637875e-03  2.51867872e-03  2.53422742e-03
  2.51268951e-03  2.26731131e-03  1.88565832e-03  1.35150951e-03
  5.76110891e-04 -1.00959864e-06]","strain in spar cap on lower surface at location xl,yl_strain with loads P_strain"
rotorse.rs.strains.strainU_te,output,,"[-1.07743852e-04  2.29541892e-04 -7.16085705e-04 -7.06154951e-04
 -1.10139000e-04  7.32452795e-04  1.89469295e-03  1.29018112e-03
  1.74897900e-03  1.67648536e-03  1.52596333e-03  1.32423797e-03
  1.29120670e-03  1.20532485e-03  4.61095785e-04  4.21586216e-04
  3.91006069e-04  5.14057672e-04  6.93188132e-04  9.60284710e-04
  1.00873910e-03  1.01406544e-03  1.02103493e-03  1.10717377e-03
 -4.20533687e-04 -4.00678228e-04 -3.16234948e-04 -1.81440462e-04
 -5.85490276e-05 -7.11923280e-08]","strain in trailing-edge panels on upper surface at location xu,yu_te with loads P_te"
rotorse.rs.strains.strainL_te,output,,"[-1.07743852e-04  2.29541892e-04 -6.43548993e-04  2.69841160e-04
  9.29925719e-04  1.72027888e-03  2.06442096e-03  2.08023375e-03
  2.20925807e-03  2.19172820e-03  2.01691832e-03  1.80969061e-03
  1.72588974e-03  1.58703100e-03  1.11018958e-03  1.01893177e-03
  9.38279127e-04  1.01147024e-03  1.13227227e-03  1.36755099e-03
  1.37215119e-03  1.32972863e-03  1.30888990e-03  1.39370714e-03
 -4.20533687e-04 -4.00678228e-04 -3.16234948e-04 -1.81440462e-04
 -5.85490276e-05 -7.11923280e-08]","strain in trailing-edge panels on lower surface at location xl,yl_te with loads P_te"
rotorse.rs.strains.axial_root_sparU_load2stress,output,m**2,[ 0.          0.         -0.60604445 -0.25097756  0.41483459  0.        ],Linear conversion factors between loads [Fx-z; Mx-z] and axial stress in the upper spar cap at blade root
rotorse.rs.strains.axial_root_sparL_load2stress,output,m**2,[ 0.          0.         -0.60604445  0.24375434 -0.41915913  0.        ],Linear conversion factors between loads [Fx-z; Mx-z] and axial stress in the lower spar cap at blade root
rotorse.rs.strains.axial_maxc_teU_load2stress,output,m**2,[ 0.          0.         -1.01136344 -2.10750043 -0.50763307  0.        ],Linear conversion factors between loads [Fx-z; Mx-z] and axial stress in the upper trailing edge at blade max chord
rotorse.rs.strains.axial_maxc_teL_load2stress,output,m**2,[ 0.          0.         -1.01136344 -1.924309   -0.57016501  0.        ],Linear conversion factors between loads [Fx-z; Mx-z] and axial stress in the lower trailing edge at blade max chord
rotorse.rs.tip_pos.tip_deflection,output,m,[25.920584],deflection at tip in yaw x-direction
rotorse.rs.aero_hub_loads.P,output,W,[56605465.4969589],Rotor aerodynamic power
rotorse.rs.aero_hub_loads.Mb,output,N/m,[1.01807078e+08],Aerodynamic blade root flapwise moment
rotorse.rs.aero_hub_loads.Fhub,output,N,[3812052.52834006   22429.58550323   39248.35212792],Aerodynamic forces at hub center in the hub c.s.
rotorse.rs.aero_hub_loads.Mhub,output,N*m,[72079612.22281176  3925882.82169953  9976005.84931365],Aerodynamic moments at hub center in the hub c.s.
rotorse.rs.aero_hub_loads.CP,output,,[0.26463089],Rotor aerodynamic power coefficient
rotorse.rs.aero_hub_loads.CMb,output,,[0.07795767],Aerodynamic blade root flapwise moment coefficient
rotorse.rs.aero_hub_loads.CFhub,output,,[0.35144139 0.00206783 0.00361839],Aerodynamic force coefficients at hub center in the hub c.s.
rotorse.rs.aero_hub_loads.CMhub,output,,[0.05519419 0.0030062  0.00763902],Aerodynamic moment coefficients at hub center in the hub c.s.
rotorse.rs.constr.constr_max_strainU_spar,output,,"[3.71608936e-01 4.62426058e-01 5.46852103e-01 6.79408811e-01
 8.85534668e-01 9.89175030e-01 1.00953748e+00 1.02088159e+00
 1.00804750e+00 9.43557071e-01 8.84219556e-01 8.86663145e-01
 8.54968616e-01 8.21447829e-01 8.22313527e-01 8.17661475e-01
 7.82921155e-01 7.65207225e-01 7.35927904e-01 6.89470489e-01
 6.57703557e-01 6.46542121e-01 6.49277406e-01 6.49558731e-01
 6.46280158e-01 5.82027433e-01 4.83452416e-01 3.47300669e-01
 1.50027993e-01 2.52225953e-04]",constraint for maximum strain in spar cap suction side
rotorse.rs.constr.constr_max_strainL_spar,output,,"[3.69015072e-01 4.42592659e-01 5.43157456e-01 7.08986442e-01
 8.65271730e-01 8.72041795e-01 8.66740956e-01 8.88527325e-01
 8.96907387e-01 8.33447844e-01 7.97610279e-01 8.12554087e-01
 7.85573496e-01 7.58100890e-01 7.66010253e-01 7.65711065e-01
 7.37505929e-01 7.23987106e-01 7.00784426e-01 6.61570228e-01
 6.35143165e-01 6.26594688e-01 6.29669681e-01 6.33556856e-01
 6.28172378e-01 5.66827828e-01 4.71414580e-01 3.37877377e-01
 1.44027723e-01 2.52399661e-04]",constraint for maximum strain in spar cap pressure side
rotorse.rs.constr.constr_max_strainU_te,output,,"[2.69359629e-02 5.73854730e-02 1.79021426e-01 1.76538738e-01
 2.75347500e-02 1.83113199e-01 4.73673238e-01 3.22545280e-01
 4.37244751e-01 4.19121339e-01 3.81490832e-01 3.31059492e-01
 3.22801675e-01 3.01331213e-01 1.15273946e-01 1.05396554e-01
 9.77515172e-02 1.28514418e-01 1.73297033e-01 2.40071178e-01
 2.52184775e-01 2.53516361e-01 2.55258732e-01 2.76793443e-01
 1.05133422e-01 1.00169557e-01 7.90587370e-02 4.53601154e-02
 1.46372569e-02 1.77980820e-05]",constraint for maximum strain in trailing edge suction side
rotorse.rs.constr.constr_max_strainL_te,output,,"[2.69359629e-02 5.73854730e-02 1.60887248e-01 6.74602901e-02
 2.32481430e-01 4.30069719e-01 5.16105241e-01 5.20058437e-01
 5.52314518e-01 5.47932050e-01 5.04229579e-01 4.52422653e-01
 4.31472435e-01 3.96757750e-01 2.77547395e-01 2.54732942e-01
 2.34569782e-01 2.52867560e-01 2.83068069e-01 3.41887748e-01
 3.43037798e-01 3.32432157e-01 3.27222476e-01 3.48426786e-01
 1.05133422e-01 1.00169557e-01 7.90587370e-02 4.53601154e-02
 1.46372569e-02 1.77980820e-05]",constraint for maximum strain in trailing edge pressure side
rotorse.rs.constr.constr_flap_f_margin,output,,[-0.10327416 -1.09518569 -2.60124717 -4.75062027 -7.51434598],constraint on flap blade frequency such that ratio of 3P/f is above or below gamma with constraint <= 0
rotorse.rs.constr.constr_edge_f_margin,output,,[-0.29511008 -1.62921641 -3.62913337 -6.46929299 -9.77093604],constraint on edge blade frequency such that ratio of 3P/f is above or below gamma with constraint <= 0
rotorse.rs.brs.d_r,output,m,[7.91138202],Root fastener circle diameter
rotorse.rs.brs.ratio,output,,[1.53633984],Ratio of recommended diameter over actual diameter. It can be constrained to be smaller than 1
rotorse.rc.sect_perimeter,output,m,"[16.33539545 16.22545676 15.15693318 14.13366793 13.50070617 13.31210987
 13.08791362 12.76273771 12.15517952 11.62265852 11.04810373 10.46849597
 10.00889587  9.59147263  9.11601422  8.68917019  8.31251039  7.93066914
  7.56813788  7.21657605  6.85810998  6.5042445   6.16581781  5.83687627
  5.49660572  5.13668545  4.76003995  4.36862098  3.96588678  1.04229115]",Perimeter of the section along the blade span
