variables,type,units,values,description
rotorse.ccblade.Pz_af,output,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",Distributed loads in airfoil z-direction
rotorse.ccblade.LiftF,output,N/m,"[   0.            8.06945731   91.67908982  340.53608294  613.05249355
 1122.95837534 1403.50339385 1625.50202077 1865.00195974 2110.99504346
 2400.64469814 2694.45589064 2959.26301773 3179.39467781 3382.4717863
 3569.72736371 3699.05913498 3881.28327891 4130.08966232 4216.15184144
 4399.92587333 4688.24532869 4881.24604474 5168.71200516 5580.19144335
 5770.91257064 5757.21212954 5329.67541353 4024.00190509  980.01131522]",Distributed lift force
rotorse.ccblade.DragF,output,N/m,"[ 58.66667836  79.22431343 114.67227043 138.66274782 122.74308807
  39.46491974  27.14601813  26.86983892  26.08180792  27.11855998
  28.77595662  31.32205027  32.46063856  34.4117337   36.13935854
  35.76156991  38.9978056   41.60123341  38.65296665  37.69768532
  37.46482921  35.19672768  44.26460171  43.16365858  38.76315847
  46.64081503  47.47270286  45.34175939  35.1588453   18.13229166]",Distributed drag force
rotorse.ccblade.L_n_opt,output,N/m,"[   0.            8.06945731   91.67908982  340.53608294  613.05249355
 1122.95837534 1403.50339385 1625.50202077 1865.00195974 2110.99504346
 2400.64469814 2694.45589064 2959.26301773 3179.39467781 3382.4717863
 3569.72736371 3699.05913498 3881.28327891 4130.08966232 4216.15184144
 4399.92587333 4688.24532869 4881.24604474 5168.71200516 5580.19144335
 5770.91257064 5757.21212954 5329.67541353 4024.00190509  980.01131522]",Distributed lift force
rotorse.ccblade.D_n_opt,output,N/m,"[ 58.66667836  79.22431343 114.67227043 138.66274782 122.74308807
  39.46491974  27.14601813  26.86983892  26.08180792  27.11855998
  28.77595662  31.32205027  32.46063856  34.4117337   36.13935854
  35.76156991  38.9978056   41.60123341  38.65296665  37.69768532
  37.46482921  35.19672768  44.26460171  43.16365858  38.76315847
  46.64081503  47.47270286  45.34175939  35.1588453   18.13229166]",Distributed drag force
rotorse.wt_class.V_mean,output,m/s,[7.5],
rotorse.wt_class.V_extreme1,output,m/s,[30.],
rotorse.wt_class.V_extreme50,output,m/s,[52.5],
rotorse.re.precomp.z,output,m,"[ 2.          4.17241379  6.34482759  8.51724138 10.68965517 12.86206897
 15.03448276 17.20689655 19.37931034 21.55172414 23.72413793 25.89655172
 28.06896552 30.24137931 32.4137931  34.5862069  36.75862069 38.93103448
 41.10344828 43.27586207 45.44827586 47.62068966 49.79310345 51.96551724
 54.13793103 56.31034483 58.48275862 60.65517241 62.82758621 65.        ]",locations of properties along beam
rotorse.re.Tw_iner,output,m,"[14.48776845 19.18223186 18.682726   21.25100649 18.29893146 16.25631301
 16.41668792 17.11216713 18.09354366 17.39557449 13.89513051 11.33803449
  9.78732173  8.85005061  7.96518336  7.37371472  7.16575249  6.43159403
  4.87571645  3.70006646  2.93643598  2.19071433  1.48297784  0.78946147
  0.25174617 -0.33390263 -0.71661027 -1.25798274 -2.35531874 -3.66504609]",Orientation of the section principal inertia axes with respect the blade reference plane
rotorse.re.x_tc,output,m,"[ 0.02268714  0.02953236  0.32113715  0.49899718  0.5733616   0.51631711
  0.46641833  0.34803253  0.21303532  0.1232026   0.08325171  0.04282833
  0.02347965  0.00467397 -0.00688112 -0.00997358 -0.01243158 -0.00707004
  0.00189725  0.00994818  0.01386389  0.01713452  0.01991503  0.02117265
  0.02189555  0.01999581  0.01346332  0.00421081 -0.00839651 -0.00406586]",X-coordinate of the tension-center offset with respect to the XR-YR axes
rotorse.re.y_tc,output,m,"[-7.24270869e-05  5.21015316e-02  2.72134260e-01  4.15710220e-01
  4.91671601e-01  4.67135557e-01  3.79148419e-01  3.48821065e-01
  3.24941084e-01  3.02402351e-01  3.08985599e-01  3.12345228e-01
  3.11792039e-01  3.13080643e-01  3.11970874e-01  2.92701924e-01
  2.52648963e-01  2.17597838e-01  2.03071184e-01  1.99788124e-01
  1.95292432e-01  1.99267215e-01  2.09580510e-01  2.18609675e-01
  2.24060567e-01  2.38610406e-01  2.63062720e-01  2.58800334e-01
  2.05662015e-01  4.80202532e-02]",Chordwise offset of the section tension-center with respect to the XR-YR axes
rotorse.re.x_sc,output,m,"[ 0.02268714  0.02953236  0.32113715  0.49866616  0.57375134  0.51715562
  0.46762127  0.34936769  0.21418078  0.12403528  0.08389382  0.04332086
  0.02381266  0.00486635 -0.00678813 -0.00996913 -0.01253152 -0.00719382
  0.00182099  0.00991539  0.01384613  0.01712928  0.01991767  0.02117884
  0.02191583  0.02001938  0.01345805  0.00418082 -0.00839651 -0.00406586]",X-coordinate of the shear-center offset with respect to the XR-YR axes
rotorse.re.y_sc,output,m,"[-7.24270869e-05  5.21015316e-02  2.72134260e-01  4.13269273e-01
  4.92518222e-01  4.68799470e-01  3.80239601e-01  3.49539395e-01
  3.25416733e-01  3.03081425e-01  3.10605796e-01  3.14682209e-01
  3.14609408e-01  3.16196943e-01  3.15241250e-01  2.95710267e-01
  2.54833648e-01  2.19014161e-01  2.04150340e-01  2.00764467e-01
  1.96209998e-01  2.00160106e-01  2.10422123e-01  2.19362858e-01
  2.24877603e-01  2.39777027e-01  2.66590072e-01  2.63233594e-01
  2.05662015e-01  4.80202532e-02]","Chordwise offset of the section shear-center with respect to the reference frame, XR-YR"
rotorse.re.x_cg,output,m,"[ 0.02268714  0.02953236  0.32113715  0.49021335  0.56667817  0.50700865
  0.45773298  0.34302239  0.21587486  0.13113708  0.09416795  0.05527695
  0.03595715  0.01547368  0.00182173 -0.00288743 -0.00636221 -0.00240588
  0.00505426  0.01199739  0.01525431  0.01792729  0.02026257  0.02122963
  0.02143769  0.01918323  0.01193175  0.00267409 -0.00839651 -0.00406586]",X-coordinate of the center-of-mass offset with respect to the XR-YR axes
rotorse.re.y_cg,output,m,"[-7.24270869e-05  5.21015316e-02  2.72134260e-01  4.66859448e-01
  5.85830451e-01  5.98863438e-01  5.51765543e-01  5.34125986e-01
  5.13888562e-01  4.87123037e-01  4.81727887e-01  4.68923466e-01
  4.40962138e-01  4.06097729e-01  3.74286370e-01  3.36769114e-01
  2.89628817e-01  2.48899079e-01  2.28165415e-01  2.19211048e-01
  2.10898174e-01  2.10838706e-01  2.18149944e-01  2.25796443e-01
  2.30413823e-01  2.47925425e-01  2.74873214e-01  2.59575405e-01
  2.05662015e-01  4.80202532e-02]",Chordwise offset of the section center of mass with respect to the XR-YR axes
rotorse.re.precomp.flap_iner,output,kg/m,"[7.89964885e+02 6.01053599e+02 4.64844766e+02 2.68320876e+02
 1.91379130e+02 1.47396123e+02 1.18386746e+02 1.13310233e+02
 1.08000610e+02 1.00367729e+02 8.23500539e+01 6.52032107e+01
 5.21083232e+01 4.22817435e+01 3.38719976e+01 2.67188155e+01
 2.04495006e+01 1.51446492e+01 1.07399961e+01 7.54153327e+00
 5.42181828e+00 4.28449567e+00 3.56988875e+00 3.07972933e+00
 2.13624422e+00 1.20281603e+00 3.46320880e-01 1.62416501e-01
 1.88404730e-02 1.78679543e-04]",Section flap inertia about the Y_G axis per unit length.
rotorse.re.precomp.edge_iner,output,kg/m,"[7.90000424e+02 6.16807535e+02 6.05934367e+02 5.23255297e+02
 5.21371931e+02 4.39786080e+02 3.52011283e+02 3.26309463e+02
 2.97087845e+02 2.64449269e+02 2.25316966e+02 1.85772884e+02
 1.50815702e+02 1.22237616e+02 9.79333599e+01 7.47986519e+01
 5.09366851e+01 3.42609707e+01 2.47527439e+01 1.88091981e+01
 1.44896230e+01 1.29031373e+01 1.24886542e+01 1.23221287e+01
 7.17044788e+00 5.20416517e+00 2.87344620e+00 1.71495844e+00
 3.43734987e-01 3.50929641e-03]",Section lag inertia about the X_G axis per unit length
rotorse.blade_mass,output,kg,[14563.41339641],mass of one blade
rotorse.blade_moment_of_inertia,output,kg*m**2,[9616819.78437081],mass moment of inertia of blade about hub
rotorse.mass_all_blades,output,kg,[43690.24018923],mass of all blades
rotorse.I_all_blades,output,kg*m**2,"[28850459.35311244 14425229.67655622 14425229.67655622        0.
        0.                0.        ]","mass moments of inertia of all blades in hub c.s. order:Ixx, Iyy, Izz, Ixy, Ixz, Iyz"
rotorse.re.sc_ss_mats,output,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","spar cap, suction side,  boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.re.sc_ps_mats,output,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","spar cap, pressure side, boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.re.te_ss_mats,output,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","trailing edge reinforcement, suction side,  boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.re.te_ps_mats,output,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","trailing edge reinforcement, pressure side, boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.rp.powercurve.pitch,output,deg,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  7.01664626 10.51730233 13.59209273 16.48802026 19.2177391  21.86278931
 24.38555486 26.77224018]",rotor pitch schedule
rotorse.rp.powercurve.P_aero,output,W,"[ 101494.4979979   293080.2267111   560914.94767189  844913.42724029
 1075000.82420727 1192929.8432071  1217547.75618059 1398769.67077516
 1777869.542762   2436418.6505847  3503559.89206512 3747878.98710843
 3747861.8388611  3747862.04567122 3747861.60637642 3747861.58122104
 3747822.73053488 3747928.26820118 3747868.62977069 3747862.45186761]",rotor mechanical power
rotorse.rp.powercurve.T,output,N,"[ 58285.8400959  118193.17698899 182193.4401952  239410.32077867
 281108.46612557 301308.46259449 305439.63850114 335041.70129288
 393128.61279908 485030.82214404 617932.57661849 645645.83964671
 432917.58185392 358616.17857777 308353.50291552 271154.80856513
 242691.55731632 221168.50148919 204631.92012297 192056.35360407]",rotor aerodynamic thrust
rotorse.rp.powercurve.Q,output,N*m,"[ 274279.4420611   556189.26632323  857359.43827376 1126608.60851972
 1322830.26410387 1417886.69208049 1437327.03335151 1576627.37204472
 1849970.7029937  2282440.86490343 2907845.234236   3045151.6770256
 3045137.74407464 3045137.91210787 3045137.55518084 3045137.5347421
 3045105.96855959 3045191.71791345 3045143.26168869 3045138.24214244]",rotor aerodynamic torque
rotorse.rp.powercurve.M,output,N*m,"[ 835797.5046603  1694846.67687283 2612586.90670123 3433055.92520425
 4030991.9894792  4320652.50762725 4379892.05034312 4804374.7407089
 5637319.68257512 6955163.5554078  8860925.8224003  9257284.4697445
 5934894.12278964 4648530.29802751 3716211.44569931 2960489.82240197
 2342369.31618597 1803557.44300217 1355487.70350405  993035.47971999]",blade root moment
rotorse.rp.powercurve.Cp,output,,"[0.36324695 0.39759677 0.40842495 0.41278615 0.41474657 0.41549915
 0.41563729 0.41638748 0.41747359 0.41832685 0.41860077 0.41861344
 0.3038401  0.20484569 0.13896752 0.0956551  0.06714535 0.04820701
 0.0354469  0.02670983]",rotor electrical power coefficient
rotorse.rp.powercurve.Cp_aero,output,,"[0.46552157 0.46552157 0.46552157 0.46552157 0.46552157 0.46552157
 0.46552157 0.46552157 0.46552157 0.46552157 0.46552157 0.4655505
 0.3379082  0.22781403 0.15454927 0.10638043 0.07467403 0.05361222
 0.03942139 0.02970467]",rotor aerodynamic power coefficient
rotorse.rp.powercurve.Ct_aero,output,,"[0.8020134  0.8020134  0.8020134  0.8020134  0.8020134  0.8020134
 0.8020134  0.8020134  0.8020134  0.8020134  0.8020134  0.80119004
 0.43387939 0.2763428  0.18345302 0.12576404 0.08890689 0.06496189
 0.04896572 0.03805483]",rotor aerodynamic thrust coefficient
rotorse.rp.powercurve.Cq_aero,output,,"[0.05825998 0.05825998 0.05825998 0.05825998 0.05825998 0.05825998
 0.05825998 0.05825998 0.05825998 0.05825998 0.05825998 0.05833224
 0.04711175 0.03622295 0.02796671 0.02180241 0.01722034 0.01380729
 0.01124825 0.00931422]",rotor aerodynamic torque coefficient
rotorse.rp.powercurve.Cm_aero,output,,"[0.17753262 0.17753262 0.17753262 0.17753262 0.17753262 0.17753262
 0.17753262 0.17753262 0.17753262 0.17753262 0.17753262 0.17733045
 0.09181958 0.05529584 0.03412989 0.02119636 0.0132463  0.00817756
 0.00500695 0.00303742]",rotor aerodynamic moment coefficient
rotorse.rp.powercurve.ax_induct_rotor,output,,"[0.30050608 0.30050608 0.30050608 0.30050608 0.30050608 0.30050608
 0.30050608 0.30050608 0.30050608 0.30050608 0.30050608 0.29994372
 0.14129752 0.08989807 0.06125217 0.04365024 0.03217948 0.02456141
 0.0192703  0.01514759]",rotor aerodynamic induction
rotorse.rp.powercurve.V_R25,output,m/s,[9.97811816],region 2.5 transition wind speed
rotorse.rp.powercurve.rated_V,output,m/s,[9.98987249],rated wind speed
rotorse.rp.powercurve.rated_Omega,output,rpm,[11.75298041],rotor rotation speed at rated
rotorse.rp.powercurve.rated_pitch,output,deg,[0.],pitch setting at rated
rotorse.rp.powercurve.rated_T,output,N,[645645.83964671],rotor aerodynamic thrust at rated
rotorse.rp.powercurve.rated_Q,output,N*m,[3045151.6770256],rotor aerodynamic torque at rated
rotorse.rp.powercurve.rated_mech,output,W,[3747878.98710843],Mechanical shaft power at rated
rotorse.rp.powercurve.ax_induct_regII,output,,"[0.09605908 0.0493792  0.05843213 0.10780068 0.14900325 0.24696398
 0.27907671 0.28742904 0.2980232  0.30772055 0.32671408 0.34431058
 0.35159593 0.34618045 0.33750258 0.3269522  0.30892383 0.30139758
 0.30331349 0.28581867 0.28169927 0.28918068 0.28823297 0.29846367
 0.32483806 0.33751862 0.34509448 0.34160467 0.31110935 0.11244731]",rotor axial induction at cut-in wind speed along blade span
rotorse.rp.powercurve.tang_induct_regII,output,,"[-0.09605908 -0.03810679 -0.00095893  0.03327226  0.04400663  0.06593997
  0.05509598  0.04373017  0.03586026  0.02988257  0.02569155  0.02226287
  0.01929237  0.01660524  0.01436747  0.01253854  0.01079456  0.00952017
  0.0086828   0.00763093  0.00690737  0.0064605   0.00583804  0.00551349
  0.00539058  0.00502487  0.00470203  0.0043425   0.00386197  0.00160198]",rotor tangential induction at cut-in wind speed along blade span
rotorse.rp.powercurve.aoa_regII,output,deg,"[52.12263488 43.22263815 31.87158627 22.05078815 16.26276939 11.00943874
  9.34602179  8.67925195  8.41018739  8.34106223  8.21340112  8.08340327
  8.02283946  8.01674357  8.03475377  8.00804158  8.04820329  7.99883309
  7.88020102  7.93190677  7.83706231  7.63088222  7.54477972  7.42203133
  7.21007817  7.16685862  7.28367204  7.76312509  8.86062722 11.60319608]",angle of attack distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.L_D,output,,"[-5.47936499e-19  1.01855819e-01  7.99487875e-01  2.45585846e+00
  4.99459891e+00  2.84545967e+01  5.17019987e+01  6.04954137e+01
  7.15058544e+01  7.78431836e+01  8.34253655e+01  8.60242502e+01
  9.11646581e+01  9.23927491e+01  9.35952359e+01  9.98202085e+01
  9.48530072e+01  9.32973126e+01  1.06850522e+02  1.11841133e+02
  1.17441504e+02  1.33201171e+02  1.10274257e+02  1.19746847e+02
  1.43956057e+02  1.23730955e+02  1.21274159e+02  1.17544522e+02
  1.14452050e+02  5.40478464e+01]",Lift over drag distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.Cp_regII,output,,[0.46552157],power coefficient at cut-in wind speed
rotorse.rp.powercurve.Ct_regII,output,,[0.8020134],thrust coefficient at cut-in wind speed
rotorse.rp.powercurve.cl_regII,output,,"[-2.73968250e-19  5.30883415e-02  4.03745990e-01  1.00067988e+00
  1.23597882e+00  1.62711574e+00  1.54130518e+00  1.40765430e+00
  1.32012025e+00  1.26071493e+00  1.24625180e+00  1.24716814e+00
  1.24918943e+00  1.24835026e+00  1.25466748e+00  1.26254890e+00
  1.25405809e+00  1.26571193e+00  1.29788940e+00  1.27647843e+00
  1.28140151e+00  1.30878649e+00  1.29917813e+00  1.30271025e+00
  1.32508446e+00  1.31192036e+00  1.31733197e+00  1.36092043e+00
  1.44923771e+00  1.54905261e+00]",lift coefficient distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.cd_regII,output,,"[0.5        0.52121069 0.50500577 0.40746643 0.24746308 0.05718288
 0.02981133 0.02326878 0.01846171 0.01619557 0.01493852 0.01449787
 0.01370256 0.01351134 0.01340525 0.01264823 0.01322107 0.01356644
 0.01214678 0.01141332 0.01091098 0.00982564 0.01178134 0.01087887
 0.00920478 0.01060301 0.01086243 0.01157791 0.0126624  0.02866076]",drag coefficient distribution along blade span at cut-in wind speed
rotorse.rp.powercurve.rated_efficiency,output,,[0.89917943],Efficiency at rated conditions
rotorse.rp.powercurve.V_spline,output,m/s,"[ 3.          3.11055276  3.22110553  3.33165829  3.44221106  3.55276382
  3.66331658  3.77386935  3.88442211  3.99497487  4.10552764  4.2160804
  4.32663317  4.43718593  4.54773869  4.65829146  4.76884422  4.87939698
  4.98994975  5.10050251  5.21105528  5.32160804  5.4321608   5.54271357
  5.65326633  5.7638191   5.87437186  5.98492462  6.09547739  6.20603015
  6.31658291  6.42713568  6.53768844  6.64824121  6.75879397  6.86934673
  6.9798995   7.09045226  7.20100503  7.31155779  7.42211055  7.53266332
  7.64321608  7.75376884  7.86432161  7.97487437  8.08542714  8.1959799
  8.30653266  8.41708543  8.52763819  8.63819095  8.74874372  8.85929648
  8.96984925  9.08040201  9.19095477  9.30150754  9.4120603   9.52261307
  9.63316583  9.74371859  9.85427136  9.96482412 10.07537688 10.18592965
 10.29648241 10.40703518 10.51758794 10.6281407  10.73869347 10.84924623
 10.95979899 11.07035176 11.18090452 11.29145729 11.40201005 11.51256281
 11.62311558 11.73366834 11.84422111 11.95477387 12.06532663 12.1758794
 12.28643216 12.39698492 12.50753769 12.61809045 12.72864322 12.83919598
 12.94974874 13.06030151 13.17085427 13.28140704 13.3919598  13.50251256
 13.61306533 13.72361809 13.83417085 13.94472362 14.05527638 14.16582915
 14.27638191 14.38693467 14.49748744 14.6080402  14.71859296 14.82914573
 14.93969849 15.05025126 15.16080402 15.27135678 15.38190955 15.49246231
 15.60301508 15.71356784 15.8241206  15.93467337 16.04522613 16.15577889
 16.26633166 16.37688442 16.48743719 16.59798995 16.70854271 16.81909548
 16.92964824 17.04020101 17.15075377 17.26130653 17.3718593  17.48241206
 17.59296482 17.70351759 17.81407035 17.92462312 18.03517588 18.14572864
 18.25628141 18.36683417 18.47738693 18.5879397  18.69849246 18.80904523
 18.91959799 19.03015075 19.14070352 19.25125628 19.36180905 19.47236181
 19.58291457 19.69346734 19.8040201  19.91457286 20.02512563 20.13567839
 20.24623116 20.35678392 20.46733668 20.57788945 20.68844221 20.79899497
 20.90954774 21.0201005  21.13065327 21.24120603 21.35175879 21.46231156
 21.57286432 21.68341709 21.79396985 21.90452261 22.01507538 22.12562814
 22.2361809  22.34673367 22.45728643 22.5678392  22.67839196 22.78894472
 22.89949749 23.01005025 23.12060302 23.23115578 23.34170854 23.45226131
 23.56281407 23.67336683 23.7839196  23.89447236 24.00502513 24.11557789
 24.22613065 24.33668342 24.44723618 24.55778894 24.66834171 24.77889447
 24.88944724 25.        ]",wind vector
