variables,units,values,description
rs.frame.strainU_spar,,"[-1.68279735e-03 -1.74290618e-03 -2.22285927e-04  3.27026450e-04
 -7.20015515e-04 -1.30886952e-03 -1.80793621e-03 -2.47562668e-03
 -2.96067643e-03 -3.01517091e-03 -2.96452677e-03 -3.06746401e-03
 -3.00703910e-03 -2.91270767e-03 -2.93244401e-03 -2.93152906e-03
 -2.81746015e-03 -2.75776255e-03 -2.65551783e-03 -2.50143675e-03
 -2.42508465e-03 -2.42773209e-03 -2.46506411e-03 -2.47853397e-03
 -2.46350431e-03 -2.20161635e-03 -1.77828906e-03 -1.18615589e-03
 -3.77583381e-04  4.40057554e-07]","strain in spar cap on upper surface at location xu,yu_strain with loads P_strain"
rs.frame.strainL_spar,,"[ 1.64673175e-03  1.74809990e-03 -5.41147374e-05 -9.97974675e-04
 -4.92036626e-04 -4.00342427e-04 -4.15866990e-05  7.12903965e-04
  1.41236290e-03  1.67767617e-03  1.84221287e-03  2.09748430e-03
  2.16338956e-03  2.16254260e-03  2.26970503e-03  2.35490201e-03
  2.32850102e-03  2.34369986e-03  2.32266906e-03  2.25367397e-03
  2.24670966e-03  2.29454170e-03  2.35696964e-03  2.38798034e-03
  2.39447927e-03  2.15072109e-03  1.73748140e-03  1.15152112e-03
  3.56512238e-04 -4.37383862e-07]","strain in spar cap on lower surface at location xl,yl_strain with loads P_strain"
rs.frame.strainU_te,,"[ 1.01930263e-03  1.36111499e-03 -2.28252358e-03 -2.99717802e-03
 -4.04833614e-03 -4.67935128e-03 -4.69110549e-03 -4.16324715e-03
 -3.35961352e-03 -2.72347321e-03 -2.32094133e-03 -1.94076490e-03
 -1.70656844e-03 -1.62634425e-03 -1.56121934e-03 -1.50241123e-03
 -1.47962977e-03 -1.48975676e-03 -1.56602009e-03 -1.64325059e-03
 -1.36657304e-03 -9.18508662e-04 -5.41372917e-04 -2.96320601e-04
 -1.66467407e-04 -8.01222916e-05 -6.73193213e-05 -5.37236943e-05
 -2.07591385e-05 -3.53240691e-08]","strain in trailing-edge panels on upper surface at location xu,yu_te with loads P_te"
rs.frame.strainL_te,,"[ 1.01930263e-03  1.36111499e-03 -2.28252358e-03 -2.99717802e-03
 -4.04833614e-03 -4.67935128e-03 -4.69110549e-03 -4.16324715e-03
 -3.35961352e-03 -2.72347321e-03 -2.32094133e-03 -1.94076490e-03
 -1.70656844e-03 -1.62634425e-03 -1.56121934e-03 -1.50241123e-03
 -1.47962977e-03 -1.48975676e-03 -1.56602009e-03 -1.64325059e-03
 -1.36657304e-03 -9.18508662e-04 -5.41372917e-04 -2.96320601e-04
 -1.66467407e-04 -8.01222916e-05 -6.73193213e-05 -5.37236943e-05
 -2.07591385e-05 -3.53240691e-08]","strain in trailing-edge panels on lower surface at location xl,yl_te with loads P_te"
rs.tip_pos.tip_deflection,m,[22.7002325],deflection at tip in yaw x-direction
rs.aero_hub_loads.Fxyz_blade_aero,N,"[[1265741.62011883 -351400.76834439       0.         1313614.99264209
   351400.76834439 1265741.62011883]
 [1328001.99635011 -326614.47304096       0.         1367576.80453775
   326614.47304096 1328001.99635011]
 [1182285.64345172 -297649.38676168       0.         1219177.79677603
   297649.38676168 1182285.64345172]]",Forces at blade root from aerodynamic loading in the blade c.s.
rs.aero_hub_loads.Mxyz_blade_aero,N*m,"[[2.61754423e+07 1.02346661e+08 0.00000000e+00 1.05640867e+08
  1.02346661e+08 2.61754423e+07]
 [2.29828719e+07 1.04813871e+08 0.00000000e+00 1.07304054e+08
  1.04813871e+08 2.29828719e+07]
 [2.16001913e+07 9.52574337e+07 0.00000000e+00 9.76757234e+07
  9.52574337e+07 2.16001913e+07]]",Moments at blade root from aerodynamic loading in the blade c.s.
rs.aero_hub_loads.Fxyz_hub_aero,N,[3776029.25992067  -39268.83844307  -25084.50054066],
rs.aero_hub_loads.Mxyz_hub_aero,N*m,[70758505.55685638  2311009.12205131  8276117.24030347],
rs.constr.constr_max_strainU_spar,,"[4.80799243e-01 4.97973194e-01 6.35102648e-02 9.34361286e-02
 2.05718718e-01 3.73962720e-01 5.16553202e-01 7.07321907e-01
 8.45907551e-01 8.61477403e-01 8.47007650e-01 8.76418288e-01
 8.59154029e-01 8.32202192e-01 8.37841146e-01 8.37579730e-01
 8.04988614e-01 7.87932156e-01 7.58719380e-01 7.14696213e-01
 6.92881328e-01 6.93637739e-01 7.04304032e-01 7.08152562e-01
 7.03858376e-01 6.29033242e-01 5.08082590e-01 3.38901684e-01
 1.07880966e-01 1.25730730e-04]",constraint for maximum strain in spar cap suction side
rs.constr.constr_max_strainL_spar,,"[4.70494786e-01 4.99457114e-01 1.54613536e-02 2.85135621e-01
 1.40581893e-01 1.14383550e-01 1.18819140e-02 2.03686847e-01
 4.03532256e-01 4.79336048e-01 5.26346533e-01 5.99281227e-01
 6.18111304e-01 6.17869313e-01 6.48487150e-01 6.72829147e-01
 6.65286006e-01 6.69628531e-01 6.63619731e-01 6.43906850e-01
 6.41917046e-01 6.55583342e-01 6.73419896e-01 6.82280097e-01
 6.84136934e-01 6.14491740e-01 4.96423257e-01 3.29006034e-01
 1.01860639e-01 1.24966818e-04]",constraint for maximum strain in spar cap pressure side
rs.constr.constr_flap_f_margin,,[-0.08562618 -1.03755928 -2.45261904 -4.54638405 -7.32035221],constraint on flap blade frequency such that ratio of 3P/f is above or below gamma with constraint <= 0
rs.constr.constr_edge_f_margin,,[ -0.30448933  -1.58117754  -3.7474092   -6.44967874 -10.98541098],constraint on edge blade frequency such that ratio of 3P/f is above or below gamma with constraint <= 0
drivese.hub_E,Pa,[1.18e+11],
drivese.hub_G,Pa,[4.76e+10],
drivese.hub_rho,kg/m**3,[7200.],
drivese.hub_Xy,Pa,[2.65e+08],
drivese.hub_mat_cost,USD/kg,[0.5],
drivese.spinner_rho,kg/m**3,[1940.],
drivese.spinner_Xt,Pa,[2.20863333e+08],
drivese.spinner_mat_cost,USD/kg,[1.87],
drivese.lss_cost,USD/kg,[0.9],
drivese.hss_E,Pa,[0.],
drivese.hss_G,Pa,[0.],
drivese.hss_rho,kg/m**3,[0.],
drivese.hss_Xy,Pa,[0.],
drivese.hss_cost,USD/kg,[0.],
drivese.bedplate_mat_cost,USD/kg,[0.9],
drivese.constr_hub_diameter,m,[0.73466864],
drivese.spinner.spinner_diameter,m,[8.94],
drivese.hub_system_cost,USD,[15009.74453497],
drivese.stage_ratios,,[0. 0. 0.],
drivese.L_gearbox,m,[0.],
drivese.D_gearbox,m,[0.],
drivese.L_lss,m,[3.],
drivese.s_generator,m,[1.225],
drivese.constr_length,m,[1.55112582],
drivese.constr_height,m,[4.85407807],
drivese.L_nose,m,[1.3],
drivese.D_bearing1,m,[0.7],
drivese.D_bearing2,m,[0.7],
drivese.constr_access,m,"[[0.4 1.2]
 [0.4 1.2]]",
drivese.constr_ecc,m,[-0.05295225],
drivese.bear1.mb_max_defl_ang,rad,[0.00872665],
drivese.bear1.mb_mass,kg,[48092.00178654],
drivese.bear1.mb_I,kg*m**2,[62609.77482585 32777.70496764 32777.70496764],
drivese.bear2.mb_max_defl_ang,rad,[0.078],
drivese.bear2.mb_mass,kg,[13479.28387693],
drivese.bear2.mb_I,kg*m**2,[17548.34269728  9186.97441737  9186.97441737],
drivese.lss_rpm,rpm,"[4.96563422 5.09898195 5.23232967 5.36567739 5.49902511 5.63237283
 5.76572055 5.89906827 6.032416   6.16576372 6.29911144 6.43245916
 6.56580688 6.6991546  6.83250233 6.96585005 7.09919777 7.23254549
 7.36589321 7.49924093]",
drivese.hss_rpm,rpm,"[4.96563422 5.09898195 5.23232967 5.36567739 5.49902511 5.63237283
 5.76572055 5.89906827 6.032416   6.16576372 6.29911144 6.43245916
 6.56580688 6.6991546  6.83250233 6.96585005 7.09919777 7.23254549
 7.36589321 7.49924093]",
drivese.generator.B_rymax,T,[1.63478983],
drivese.generator.B_trmax,T,[0.],
drivese.generator.B_tsmax,T,[0.],
drivese.generator.B_g1,T,[0.],
drivese.generator.B_pm1,,[1.14758177],
drivese.generator.N_s,,[115.],
drivese.generator.b_s,m,[0.05075157],
drivese.generator.b_t,m,[0.0808961],
drivese.generator.A_Curcalc,mm**2,[0.],
drivese.generator.A_Cuscalc,mm**2,[534.58358258],
drivese.generator.b_m,,[0.1288363],
drivese.generator.f,,"[ 8.27605704  8.49830324  8.72054945  8.94279565  9.16504185  9.38728805
  9.60953426  9.83178046 10.05402666 10.27627286 10.49851907 10.72076527
 10.94301147 11.16525767 11.38750388 11.60975008 11.83199628 12.05424248
 12.27648869 12.49873489]",
drivese.generator.I_s,A,"[1909.28968392 1723.62615374 1545.5822387  1371.7787301  1198.70577336
 1021.92647979  834.46442644  621.80287783  331.87712987  370.67831773
  599.630085    747.88624528  859.83028739  949.57354818 1023.90931807
 1086.77040067 1140.69219381 1187.4291238  1228.25755471 1264.14127599]",
drivese.generator.R_s,ohm,"[0.03950781 0.03859958 0.03769136 0.03655608 0.03564785 0.03496668
 0.03405846 0.03337729 0.03269612 0.03178789 0.03110672 0.03065261
 0.02997144 0.02929027 0.02883616 0.02815499 0.02770088 0.02724676
 0.02679265 0.02611148]",
drivese.generator.L_s,,[0.01948024],
drivese.generator.J_s,A*m**-2,[6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6. 6.],
drivese.generator.A_1,,"[61886.23530801 54583.95329563 47793.97987416 41141.7660913
 35057.84684552 29316.5839288  23316.96797917 17027.19275476
  8902.51691802  9667.1444723  15303.01385829 18807.98650335
 21142.66167166 22818.72153113 24223.57321561 25103.39597425
 25923.95686603 26543.7288684  26998.79873119 27081.10881469]",
drivese.generator.Losses,W,"[431091.57761937 392564.29114101 361110.43807522 334750.05536859
 313918.45523929 297390.54639578 283728.77771503 273061.41189703
 264664.46555531 271382.36870331 287185.34877045 301713.1498544
 314829.45119691 326814.54781951 338161.44117949 348318.82537054
 358139.69301555 367344.6254064  376001.68420433 383626.45050556]",
drivese.generator_efficiency,,"[0.9719772  0.97448164 0.97652628 0.97823982 0.97959396 0.98066834
 0.98155642 0.98224984 0.98279568 0.98235899 0.98133172 0.98038736
 0.97953474 0.97875566 0.97801806 0.97735779 0.97671939 0.97612103
 0.97555828 0.97506264]",
drivese.generator.S,,[240.],
drivese.generator.Slot_aspect_ratio,,[7.42725566],
drivese.generator.Slot_aspect_ratio1,,[0.],
drivese.generator.Slot_aspect_ratio2,,[0.],
drivese.generator.J_r,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
drivese.generator.L_sm,,[0.],
drivese.generator.Q_r,,[0.],
drivese.generator.R_R,,[0.],
drivese.generator.b_r,,[0.],
drivese.generator.b_tr,,[0.],
drivese.generator.b_trmin,,[0.],
drivese.generator.B_symax,T,[1.63455514],
drivese.generator.tau_p,m,[0.16104538],
drivese.generator.q,N/m**2,[768352.15212278],
drivese.generator.len_ag,m,[0.01025247],
drivese.generator.h_t,m,[0.43194491],
drivese.generator.tau_s,m,[0.13393607],
drivese.generator.J_actual,A/m**2,"[2.52546417 2.27988248 2.04437943 1.81448528 1.58555745 1.35172715
 1.10376651 0.82247388 0.438982   0.49030528 0.79314538 0.98924743
 1.13731855 1.25602416 1.3543499  1.43749779 1.50882147 1.57064155
 1.62464631 1.67211059]",
drivese.generator.T_e,N*m,[22187153.3217761],
drivese.generator.twist_r,deg,[0.00043625],
drivese.generator.twist_s,deg,[8.9048402e-05],
drivese.generator.Structural_mass_rotor,kg,[66168.75073986],
drivese.generator.Structural_mass_stator,kg,[61098.33578311],
drivese.generator.Mass_tooth_stator,kg,[159099.60833031],
drivese.generator.Mass_yoke_rotor,kg,[20554.89809625],
drivese.generator.Mass_yoke_stator,kg,[18292.21340911],
drivese.generator_cost,USD,[2388592.52485842],
drivese.generator.con_uas,m,[-0.00373996],
drivese.generator.con_zas,m,[0.],
drivese.generator.con_yas,m,[-0.01010261],
drivese.generator.con_bst,m,[0.],
drivese.generator.con_uar,m,[-0.00033433],
drivese.generator.con_yar,m,[-0.01072272],
drivese.generator.con_zar,m,[0.],
drivese.generator.con_br,m,[0.],
drivese.generator.TCr,m**3,[16.39191341],
drivese.generator.TCs,m**3,[10.86144155],
drivese.generator.con_TC2r,m**3,[10.86144155],
drivese.generator.con_TC2s,m**3,[10.86144155],
drivese.generator.con_Bsmax,T,[1.36816703],
drivese.generator.K_rad_L,,[0.2184466],
drivese.generator.K_rad_U,,[0.2184466],
drivese.generator.D_ratio_L,,[0.],
drivese.generator.D_ratio_U,,[0.],
drivese.mean_bearing_mass,kg,[30785.64283173],
drivese.total_bedplate_mass,kg,[48338.89555328],
drivese.above_yaw_mass,kg,[677740.3361188],
drivese.above_yaw_cm,m,[-1.04273374  0.3186183   0.54864373],
drivese.above_yaw_I,kg*m**2,"[9230209.34241598 5802682.49462563 6540722.50458631 -225168.41544539
 -245871.22443626 -273842.63029023]",
drivese.rotor_mass,kg,[297590.30877727],
drivese.rna_mass,kg,[1003610.57095109],
drivese.rna_cm,m,[-2.66283085  0.21516361  0.57636484],
drivese.rna_I_TT,kg*m**2,"[ 4.23476615e+08  2.17707816e+08  1.75876219e+08 -3.61268154e+02
  1.46443825e+06 -3.92126932e+05]",
drivese.torq_deflection,m,[7.42667488e-05],
drivese.torq_rotation,rad,[0.00010998],
drivese.lss_axial_stress,Pa,"[[13446774.68874506]
 [13427257.9480715 ]
 [18354545.52274014]
 [19056691.5353216 ]]",
drivese.lss_shear_stress,Pa,"[[  123993.58232328]
 [ 1076661.0934867 ]
 [ 7551105.74204916]
 [58132243.08907091]]",
drivese.constr_lss_vonmises,,"[[0.04866412]
 [0.04905365]
 [0.08155387]
 [0.37081345]]",
drivese.F_torq,N,"[[-0.]
 [-0.]
 [-0.]]",
drivese.M_torq,N*m,"[[70758505.55685638]
 [      -0.        ]
 [      -0.        ]]",
drivese.mb1_deflection,m,[0.00253202],
drivese.mb2_deflection,m,[0.00191481],
drivese.stator_deflection,m,[0.00182587],
drivese.mb1_rotation,rad,[-1.12391994e-05],
drivese.mb2_rotation,rad,[8.4527263e-06],
drivese.stator_rotation,rad,[-5.97755854e-06],
drivese.base_F,N,"[[ 3757965.82161763]
 [  -39268.83844308]
 [-7326478.88681398]]",
drivese.base_M,N*m,"[[  -708387.76078848]
 [-13731347.81152232]
 [  8572070.32705766]]",
drivese.bedplate_nose_axial_stress,Pa,"[[15748295.80861686]
 [17397098.29898027]
 [19230099.53497922]
 [21377156.90470901]
 [24002281.54372381]
 [27326114.38445223]
 [31645905.6344035 ]
 [37307871.92087476]
 [44434824.97855605]
 [51856593.07409152]
 [55574785.05260409]
 [30583679.98153951]
 [30733697.56358571]
 [ 9747218.61234201]
 [ 5255182.97739604]]",
drivese.bedplate_nose_shear_stress,Pa,"[[11593109.18665682]
 [ 8929710.20042567]
 [ 6189654.93322625]
 [ 3275635.70212475]
 [ 6297084.6123164 ]
 [10706189.73798747]
 [16174536.03267488]
 [23144991.64546888]
 [31998027.70207089]
 [42188355.26693109]
 [50303438.33874364]
 [26718776.03509185]
 [15343312.47112571]
 [14579382.95996117]
 [14456277.5948785 ]]",
drivese.bedplate_nose_bending_stress,Pa,"[[ 7000300.96522477]
 [ 7949802.3509905 ]
 [ 9076390.34921439]
 [10473005.13740036]
 [12260453.04851871]
 [14614986.86621466]
 [17813534.61243715]
 [22283809.91793041]
 [28475065.47219905]
 [35713414.66890246]
 [40173865.00072671]
 [       0.        ]
 [       0.        ]
 [       0.        ]
 [       0.        ]]",
drivese.constr_bedplate_vonmises,,"[[0.08789226]
 [0.07817875]
 [0.07169613]
 [0.07007052]
 [0.08494821]
 [0.10884647]
 [0.14199812]
 [0.18677347]
 [0.2451988 ]
 [0.31237494]
 [0.36296036]
 [0.20072524]
 [0.14702263]
 [0.09794755]
 [0.09257912]]",
drivese.constr_mb1_defl,,[0.00128792],
drivese.constr_mb2_defl,,[0.00010837],
towerse.z_start,m,[-75.],
towerse.height_constraint,m,[5.614],
towerse.unit_cost_full,USD/kg,"[0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7
 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7
 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7
 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7
 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7
 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7
 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7]",
towerse.outfitting_full,,"[1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07 1.07]",
towerse.sec_loc,,"[0.         0.07148871 0.14297743 0.18070758 0.18467917 0.18865077
 0.19262236 0.19659396 0.20056556 0.20255215 0.20255374 0.20255532
 0.20652692 0.21446852 0.22241012 0.22638172 0.22638331 0.2263849
 0.23035649 0.23829809 0.24623969 0.25021129 0.25021288 0.25021447
 0.25418606 0.26212766 0.27006926 0.27404086 0.27404245 0.27404404
 0.27801563 0.28595723 0.29389884 0.29787043 0.29787202 0.29787361
 0.3018452  0.3097868  0.31772841 0.3217     0.32170159 0.32170318
 0.32567477 0.33361638 0.34155798 0.34552957 0.34553116 0.34553275
 0.34950434 0.35744595 0.36538755 0.36935914 0.36936073 0.36936232
 0.37333392 0.38127552 0.38921712 0.39319586 0.39321175 0.39322764
 0.40355378 0.42419019 0.4448266  0.45515275 0.45516863 0.45518452
 0.46551067 0.48614708 0.50678348 0.51710963 0.51712552 0.5171414
 0.52746755 0.54810396 0.56874037 0.57906652 0.5790824  0.57909829
 0.58942444 0.61006084 0.63069725 0.6410234  0.64103929 0.64105517
 0.65138132 0.67201773 0.69265414 0.70298029 0.70299617 0.70301206
 0.71333821 0.73397461 0.75461102 0.76493717 0.76495306 0.76496894
 0.77529509 0.7959315  0.81656791 0.82689405 0.82690994 0.82692583
 0.83725197 0.85788838 0.87852479 0.88885094 0.88886682 0.88888271
 0.89920886 0.91984527 0.94048168 0.95080782 0.95082371 0.9508396
 0.96067803 0.98033902 1.        ]",normalized sectional location
towerse.str_tw,deg,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",structural twist of section
towerse.tw_iner,deg,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",inertial twist of section
towerse.mass_den,kg/m,"[13485.94467634 13485.94467634 13485.94467634 13485.94467634
 13485.94467634 13485.94467634 13485.94467634 13485.94467634
 13485.94467634 13256.67664802 13256.67664802 13256.67664802
 13027.36476089 13027.36476089 13027.36476089 12792.18969407
 12792.18969407 12792.18969407 12556.96851483 12556.96851483
 12556.96851483 12316.60729761 12316.60729761 12316.60729761
 12076.19794974 12076.19794974 12076.19794974 11832.34314893
 11832.34314893 11832.34314893 11588.43884797 11588.43884797
 11588.43884797 11345.69886988 11345.69886988 11345.69886988
 11102.90988293 11102.90988293 11102.90988293 10861.28619904
 10861.28619904 10861.28619904 10619.61399516 10619.61399516
 10619.61399516 10463.53354989 10463.53354989 10463.53354989
 10307.43287347 10307.43287347 10307.43287347 10163.58368031
 10163.58368031 10163.58368031 10019.71731132 10019.71731132
 10019.71731132  9829.89435555  9829.89435555  9829.89435555
  9640.04150629  9640.04150629  9640.04150629  9270.45985937
  9270.45985937  9270.45985937  8889.74720586  8867.71165276
  8845.67609965  8511.44131523  8511.44131523  8511.44131523
  8121.50384499  7988.23852701  7854.97320902  7606.02659467
  7606.02659467  7606.02659467  7343.48239976  7183.08363674
  7022.68487373  6783.03855524  6783.03855524  6783.03855524
  6538.03253644  6366.9683378   6195.90413916  5951.0779438
  5951.0779438   5951.0779438   5701.30695056  5520.41643758
  5339.52592459  5079.45839673  5079.45839673  5079.45839673
  4856.33420361  4749.41770721  4642.50121081  4319.89633367
  4319.89633367  4319.89633367  4034.83716219  4003.26363012
  3971.69009805  3694.55008297  3694.55008297  3694.55008297
  3418.10304698  3388.16373936  3358.22443174  3596.98867831
  3596.98867831  3596.98867831  3843.5426164   3829.42924514
  3815.31587388]",sectional mass per unit length
towerse.foreaft_iner,kg*m,"[166718.81989562 166718.81989562 166718.81989562 166718.81989562
 166718.81989562 166718.81989562 166718.81989562 166718.81989562
 166718.81989562 163915.52180134 163915.52180134 163915.52180134
 161110.61459289 161110.61459289 161110.61459289 158232.87543639
 158232.87543639 158232.87543639 155353.44317254 155353.44317254
 155353.44317254 152409.92350731 152409.92350731 152409.92350731
 149464.6352302  149464.6352302  149464.6352302  146475.93144728
 146475.93144728 146475.93144728 143485.40726126 143485.40726126
 143485.40726126 140507.95373218 140507.95373218 140507.95373218
 137528.69640848 137528.69640848 137528.69640848 134562.54436098
 134562.54436098 134562.54436098 131594.60507298 131594.60507298
 131594.60507298 129677.17168205 129677.17168205 129677.17168205
 127758.99258093 127758.99258093 127758.99258093 125990.92060253
 125990.92060253 125990.92060253 124222.21521618 124222.21521618
 124222.21521618 121887.86941089 121887.86941089 121887.86941089
 119552.4205875  119552.4205875  119552.4205875  115003.95319308
 115003.95319308 115003.95319308 110041.64997089 109225.38331641
 108413.16329434 104085.12834761 104085.12834761 104085.12834761
  97733.17223724  93000.62748324  88423.38007739  84188.6943504
  84188.6943504   84188.6943504   79549.32751745  74449.76680483
  69572.94154398  65683.78405332  65683.78405332  65683.78405332
  61697.08645835  56979.91395605  52509.52726884  49061.49472451
  49061.49472451  49061.49472451  45554.81219026  41354.89233181
  37421.38823067  34411.75929042  34411.75929042  34411.75929042
  32195.8564335   30115.88709288  28127.48692143  25585.5040404
  25585.5040404   25585.5040404   23722.2718246   23169.72604292
  22625.82764427  20889.89249242  20889.89249242  20889.89249242
  19167.65514803  18668.38626498  18177.86336192  19287.77505921
  19287.77505921  19287.77505921  20524.46858947  20299.20414247
  20075.5940089 ]",sectional fore-aft intertia per unit length about the Y_G inertia axis
towerse.sideside_iner,kg*m,"[166718.81989562 166718.81989562 166718.81989562 166718.81989562
 166718.81989562 166718.81989562 166718.81989562 166718.81989562
 166718.81989562 163915.52180134 163915.52180134 163915.52180134
 161110.61459289 161110.61459289 161110.61459289 158232.87543639
 158232.87543639 158232.87543639 155353.44317254 155353.44317254
 155353.44317254 152409.92350731 152409.92350731 152409.92350731
 149464.6352302  149464.6352302  149464.6352302  146475.93144728
 146475.93144728 146475.93144728 143485.40726126 143485.40726126
 143485.40726126 140507.95373218 140507.95373218 140507.95373218
 137528.69640848 137528.69640848 137528.69640848 134562.54436098
 134562.54436098 134562.54436098 131594.60507298 131594.60507298
 131594.60507298 129677.17168205 129677.17168205 129677.17168205
 127758.99258093 127758.99258093 127758.99258093 125990.92060253
 125990.92060253 125990.92060253 124222.21521618 124222.21521618
 124222.21521618 121887.86941089 121887.86941089 121887.86941089
 119552.4205875  119552.4205875  119552.4205875  115003.95319308
 115003.95319308 115003.95319308 110041.64997089 109225.38331641
 108413.16329434 104085.12834761 104085.12834761 104085.12834761
  97733.17223724  93000.62748324  88423.38007739  84188.6943504
  84188.6943504   84188.6943504   79549.32751745  74449.76680483
  69572.94154398  65683.78405332  65683.78405332  65683.78405332
  61697.08645835  56979.91395605  52509.52726884  49061.49472451
  49061.49472451  49061.49472451  45554.81219026  41354.89233181
  37421.38823067  34411.75929042  34411.75929042  34411.75929042
  32195.8564335   30115.88709288  28127.48692143  25585.5040404
  25585.5040404   25585.5040404   23722.2718246   23169.72604292
  22625.82764427  20889.89249242  20889.89249242  20889.89249242
  19167.65514803  18668.38626498  18177.86336192  19287.77505921
  19287.77505921  19287.77505921  20524.46858947  20299.20414247
  20075.5940089 ]",sectional side-side intertia per unit length about the Y_G inertia axis
