variables,units,values,description
rs.constr.constr_flap_f_margin,,[ -2.06862981  -5.49749436 -10.55659417 -17.66425585 -21.73769941],constraint on flap blade frequency such that ratio of 3P/f is above or below gamma with constraint <= 0
rs.constr.constr_edge_f_margin,,[ -0.17198537  -0.49457097  -3.10691666  -7.89320779 -14.16114146],constraint on edge blade frequency such that ratio of 3P/f is above or below gamma with constraint <= 0
drivese.hub_E,Pa,[1.18e+11],
drivese.hub_G,Pa,[4.76e+10],
drivese.hub_rho,kg/m**3,[7200.],
drivese.hub_Xy,Pa,[2.65e+08],
drivese.hub_mat_cost,USD/kg,[0.5],
drivese.spinner_rho,kg/m**3,[1780.],
drivese.spinner_Xt,Pa,[45180000.],
drivese.spinner_mat_cost,USD/kg,[3.],
drivese.lss_cost,USD/kg,[0.9],
drivese.hss_cost,USD/kg,[0.9],
drivese.bedplate_mat_cost,USD/kg,[0.7],
drivese.constr_hub_diameter,m,[-1.90793917],
drivese.spinner.spinner_diameter,m,[4.5],
drivese.hub_system_cost,USD,[1538.41163187],
drivese.stage_ratios,,[3.39744745 3.2144304  8.79051268],
drivese.D_gearbox,m,[1.4175],
drivese.L_lss,m,[3.1],
drivese.constr_length,m,[2.64042885],
drivese.constr_height,m,[1.46232088],
drivese.bear1.mb_max_defl_ang,rad,[0.00872665],
drivese.bear1.mb_mass,kg,[1480.55356999],
drivese.bear1.mb_I,kg*m**2,[134.02030141  70.60698288  70.60698288],
drivese.bear2.mb_max_defl_ang,rad,[0.078],
drivese.bear2.mb_mass,kg,[1349.62411874],
drivese.bear2.mb_I,kg*m**2,[118.75932276  61.52201828  61.52201828],
drivese.lss_rpm,rpm,"[ 6.89993974  7.17362761  7.44731547  7.72100334  7.99469121  8.26837907
  8.54206694  8.8157548   9.08944267  9.36313054  9.6368184   9.91050627
 10.18419413 10.457882   10.73156987 11.00525773 11.2789456  11.55263346
 11.82632133 12.1000092 ]",
drivese.hss_rpm,rpm,"[ 662.39421512  688.66825026  714.94228541  741.21632055  767.4903557
  793.76439084  820.03842599  846.31246113  872.58649627  898.86053142
  925.13456656  951.40860171  977.68263685 1003.956672   1030.23070714
 1056.50474228 1082.77877743 1109.05281257 1135.32684772 1161.60088286]",
drivese.generator.B_rymax,T,[1.3],
drivese.generator.B_trmax,T,[2.04698443],
drivese.generator.B_tsmax,T,[2.01330851],
drivese.generator.B_g1,T,[1.0207571],
drivese.generator.B_pm1,,[0.],
drivese.generator.N_s,,[30.],
drivese.generator.b_s,m,[0.01916372],
drivese.generator.b_t,m,[0.02342232],
drivese.generator.A_Curcalc,mm**2,[5.32239525],
drivese.generator.A_Cuscalc,mm**2,[287.4557278],
drivese.generator.b_m,,[0.],
drivese.generator.f,,"[33.11971076 34.43341251 35.74711427 37.06081603 38.37451778 39.68821954
 41.0019213  42.31562306 43.62932481 44.94302657 46.25672833 47.57043009
 48.88413184 50.1978336  51.51153536 52.82523711 54.13893887 55.45264063
 56.76634239 58.08004414]",
drivese.generator.I_s,A,"[1703.60277886 1639.17888315 1579.55668791 1524.23050076 1472.76404002
 1424.7789445  1379.94549189 1337.97504574 1298.61386675 1261.6380092
 1226.84908668 1194.07073923 1163.14566977 1133.93314566 1106.30688221
 1080.15324179 1055.36969482 1031.86349926 1009.55056322  988.3544616 ]",
drivese.generator.R_s,ohm,"[0.00378304 0.00378304 0.00378304 0.00378304 0.00378304 0.00378304
 0.00378304 0.00378304 0.00378304 0.00378304 0.00378304 0.00378304
 0.00378304 0.00378304 0.00378304 0.00378304 0.00378304 0.00378304
 0.00378304 0.00378304]",
drivese.generator.L_s,,[0.00018555],
drivese.generator.J_s,A*m**-2,"[5.9264875  5.70236988 5.49495639 5.30248784 5.12344649 4.95651611
 4.80054964 4.654543   4.51761347 4.38898198 4.2679584  4.15392919
 4.04634717 3.94472274 3.84861659 3.75763339 3.67141647 3.5896432
 3.51202104 3.43828411]",
drivese.generator.A_1,,"[80007.58130794 76981.99333706 74181.9112452  71583.58581866
 69166.52763256 66912.96742555 64807.42019971 62836.33050394
 60987.78178864 59251.25672153 57617.43833283 56078.04409652
 54625.68675163 53253.75696438 51956.32393206 50728.0508049
 49564.12240907 48460.18323053 47412.2839978  46416.83550207]",
drivese.generator.Losses,W,"[354408.38027027 331160.24196972 310474.70356374 291995.98155868
 275428.0819312  260523.13328383 247072.29248141 234898.5943102
 223851.28430446 213801.29325452 204637.59788774 196264.27479361
 188598.10066566 181566.58606169 175106.35542564 169161.8053881
 163683.98801892 158629.67693313 153960.58281246 149642.69163031]",
drivese.generator_efficiency,,"[0.91494199 0.92052154 0.92548607 0.92992096 0.93389726 0.93747445
 0.94070265 0.94362434 0.94627569 0.94868769 0.95088698 0.95289657
 0.95473646 0.95642402 0.95797447 0.95940117 0.96071584 0.96192888
 0.96304946 0.96408575]",
drivese.generator.S,,[90.],
drivese.generator.Slot_aspect_ratio,,[0.],
drivese.generator.Slot_aspect_ratio1,,[4.17455588],
drivese.generator.Slot_aspect_ratio2,,[0.41893351],
drivese.generator.J_r,,"[319.41763749 307.23123246 295.94052499 285.45026521 275.67824626
 266.55314565 258.01278157 250.00269404 242.47498235 235.38734641
 228.70229146 222.38646456 216.41009803 210.74654035 205.37185877
 200.26450125 195.40500765 190.77576188 186.36077858 182.14551866]",
drivese.generator.L_sm,,[0.01956817],
drivese.generator.Q_r,,[72.],
drivese.generator.R_R,,[0.03168834],
drivese.generator.b_r,,[0.02387014],
drivese.generator.b_tr,,[0.02917461],
drivese.generator.b_trmin,,[0.02869465],
drivese.generator.N_r,,[148.],
drivese.generator.L_r,,[0.00016404],
drivese.generator.h_yr,,[0.17319615],
drivese.generator.h_ys,,[0.17319615],
drivese.generator.tau_p,,[0.63879051],
drivese.generator.Current_ratio,,"[0.09803536 0.10192395 0.10581255 0.10970115 0.11358975 0.11747834
 0.12136694 0.12525554 0.12914414 0.13303273 0.13692133 0.14080993
 0.14469853 0.14858712 0.15247572 0.15636432 0.16025291 0.16414151
 0.16803011 0.17191871]",
drivese.generator.E_p,,"[ 816.96130619  849.36628435  881.7712625   914.17624066  946.58121881
  978.98619696 1011.39117512 1043.79615327 1076.20113143 1108.60610958
 1141.01108774 1173.41606589 1205.82104404 1238.2260222  1270.63100035
 1303.03597851 1335.44095666 1367.84593482 1400.25091297 1432.65589112]",
drivese.generator_stator_I,kg*m**2,[  0.         195.16533759 195.16533759],
drivese.generator_cost,USD,[11634.18457728],
drivese.generator.con_uas,m,[0.],
drivese.generator.con_zas,m,[0.],
drivese.generator.con_yas,m,[0.],
drivese.generator.con_bst,m,[0.],
drivese.generator.con_uar,m,[0.],
drivese.generator.con_yar,m,[0.],
drivese.generator.con_zar,m,[0.],
drivese.generator.con_br,m,[0.],
drivese.generator.TCr,m**3,[-0.06557409],
drivese.generator.TCs,m**3,[-0.24790309],
drivese.generator.con_TC2r,m**3,[-0.24790309],
drivese.generator.con_TC2s,m**3,[-0.24790309],
drivese.generator.con_Bsmax,T,[1.10731968],
drivese.generator.K_rad_L,,[0.40163934],
drivese.generator.K_rad_U,,[0.40163934],
drivese.generator.D_ratio_L,,[1.42327238],
drivese.generator.D_ratio_U,,[1.42327238],
drivese.mean_bearing_mass,kg,[1415.08884437],
drivese.total_bedplate_mass,kg,[20878.50600968],
drivese.above_yaw_mass,kg,[146948.49971337],
drivese.above_yaw_cm,m,[0.3680825  0.30733412 0.16237691],
drivese.above_yaw_I,kg*m**2,"[291163.24991928 570682.82883941 784626.76791383  16623.44781855
  49078.37475574 -35345.04956566]",
drivese.rotor_mass,kg,[60500.44603481],
drivese.rna_mass,kg,[213593.14938083],
drivese.rna_cm,m,[-2.42591929  0.21144071  0.34609073],
drivese.rna_I_TT,kg*m**2,"[ 3.68684947e+07  2.36126290e+07  2.06696281e+07  2.67758534e+01
  5.13037192e+05 -4.26665502e+04]",
drivese.torq_deflection,m,[0.00073614],
drivese.torq_rotation,rad,[1.91000221e-06],
drivese.lss_axial_stress,Pa,"[[ 2404016.11601277]
 [81079116.54213934]
 [71544748.09662947]
 [84576405.06891973]]",
drivese.lss_shear_stress,Pa,"[[2.82454332e+08]
 [2.83352772e+08]
 [2.83439004e+08]
 [2.79803690e+08]]",
drivese.constr_lss_vonmises,,"[[1.7703107 ]
 [1.79999175]
 [1.79522596]
 [1.78018089]]",
drivese.hss_axial_stress,Pa,"[[6.71361372e+05]
 [1.71200190e-02]]",
drivese.hss_shear_stress,Pa,"[[25208931.8706139]
 [23352724.8742328]]",
drivese.hss_bending_stress,Pa,"[[0.]
 [0.]]",
drivese.constr_hss_vonmises,,"[[0.15801626]
 [0.14636376]]",
drivese.mb1_deflection,m,[0.00011447],
drivese.mb2_deflection,m,[5.27785181e-05],
drivese.bedplate_deflection,m,[0.00013176],
drivese.mb1_rotation,rad,[3.12591876e-06],
drivese.mb2_rotation,rad,[2.03638768e-05],
drivese.bedplate_rotation,rad,[4.51251685e-05],
drivese.base_F,N,"[[ 1121375.72099698]
 [   -7097.79448108]
 [-1520933.81919917]]",
drivese.base_M,N*m,"[[6738530.6871539 ]
 [ 662788.87910296]
 [ 647204.78304587]]",
drivese.bedplate_axial_stress,Pa,"[[7.94922550e+04]
 [1.24885434e+06]
 [3.84953648e+05]
 [1.93426610e+06]
 [3.58436738e+06]
 [5.81306247e+06]
 [6.13723716e+06]
 [5.85955497e+06]
 [3.74856486e+06]
 [7.95011425e+04]
 [1.29620354e+00]
 [7.94961614e+04]
 [5.43129134e+05]
 [9.14309100e+05]
 [2.46362252e+06]
 [4.11795828e+06]
 [1.16839457e+07]
 [1.23824474e+07]
 [5.89103091e+06]
 [3.75905591e+06]
 [7.95010612e+04]
 [1.37393543e+00]]",
drivese.bedplate_shear_stress,Pa,"[[3.57400631e+05]
 [2.70985122e+06]
 [2.97678037e+06]
 [3.24483845e+06]
 [3.51506901e+06]
 [1.15297018e+07]
 [1.14932221e+07]
 [9.73737774e+06]
 [9.55866813e+06]
 [3.57414062e+05]
 [1.55786458e+00]
 [3.57418201e+05]
 [5.88276337e+06]
 [6.15006307e+06]
 [6.41812615e+06]
 [6.68835150e+06]
 [8.83981398e+06]
 [8.80276077e+06]
 [9.73737838e+06]
 [9.55867131e+06]
 [3.57412871e+05]
 [3.61876439e+00]]",
drivese.bedplate_bending_stress,Pa,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
drivese.constr_bedplate_vonmises,,"[[3.17486673e-03]
 [2.47068603e-02]
 [2.63010182e-02]
 [3.02356624e-02]
 [3.59395620e-02]
 [1.05803042e-01]
 [1.05968538e-01]
 [9.08251777e-02]
 [8.63519144e-02]
 [3.17498987e-03]
 [1.52277428e-08]
 [3.17502280e-03]
 [5.19058307e-02]
 [5.43866285e-02]
 [5.79213088e-02]
 [6.25426188e-02]
 [9.79739798e-02]
 [9.99157508e-02]
 [9.08778566e-02]
 [8.63637424e-02]
 [3.17497940e-03]
 [3.26414845e-08]]",
drivese.constr_mb1_defl,,[0.0003582],
drivese.constr_mb2_defl,,[0.00026108],
towerse.z_start,m,[0.],
towerse.height_constraint,m,[2.30006538],
towerse.unit_cost_full,USD/kg,[0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7],
towerse.outfitting_full,,"[1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07]",
towerse.sec_loc,,"[0.         0.05876585 0.1175317  0.17629756 0.23506341 0.29382926
 0.35259511 0.41136096 0.47012681 0.52889267 0.58765852 0.64642437
 0.70519022 0.76395607 0.82272192 0.88168388 0.94084194 1.        ]",normalized sectional location
towerse.str_tw,deg,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],structural twist of section
towerse.tw_iner,deg,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],inertial twist of section
towerse.mass_den,kg/m,"[3797.28849296 3721.31661445 3645.34473595 3352.36038313 3281.02800865
 3209.69563418 2935.14383484 2868.45096439 2801.75809395 2545.63884809
 2483.58548168 2421.53211526 2183.84542288 2126.4315605  2069.01769812
 1930.69938031 1875.60526994 1820.51115957]",sectional mass per unit length
towerse.foreaft_iner,kg*m,"[16605.34033031 15628.49717581 14690.7355985  12960.19228234
 12150.37082662 11375.00700046  9950.89230915  9287.87901786
  8654.99043764  7498.80957425  6963.69465048  6454.6625484
  5530.5047578   5105.68214205  4703.19148776  4150.18015063
  3804.94035931  3479.39833083]",sectional fore-aft intertia per unit length about the Y_G inertia axis
towerse.sideside_iner,kg*m,"[16605.34033031 15628.49717581 14690.7355985  12960.19228234
 12150.37082662 11375.00700046  9950.89230915  9287.87901786
  8654.99043764  7498.80957425  6963.69465048  6454.6625484
  5530.5047578   5105.68214205  4703.19148776  4150.18015063
  3804.94035931  3479.39833083]",sectional side-side intertia per unit length about the Y_G inertia axis
towerse.foreaft_stff,N*m**2,"[4.25777957e+11 4.00730697e+11 3.76685528e+11 3.32312623e+11
 3.11547970e+11 2.91666846e+11 2.55151085e+11 2.38150744e+11
 2.21922832e+11 1.92277169e+11 1.78556273e+11 1.65504168e+11
 1.41807814e+11 1.30914927e+11 1.20594654e+11 1.06414876e+11
 9.75625733e+10 8.92153418e+10]",sectional fore-aft bending stiffness per unit length about the Y_E elastic axis
towerse.sideside_stff,N*m**2,"[4.25777957e+11 4.00730697e+11 3.76685528e+11 3.32312623e+11
 3.11547970e+11 2.91666846e+11 2.55151085e+11 2.38150744e+11
 2.21922832e+11 1.92277169e+11 1.78556273e+11 1.65504168e+11
 1.41807814e+11 1.30914927e+11 1.20594654e+11 1.06414876e+11
 9.75625733e+10 8.92153418e+10]",sectional side-side bending stiffness per unit length about the Y_E elastic axis
towerse.tor_stff,N*m**2,"[3.37641920e+11 3.17779443e+11 2.98711624e+11 2.63523910e+11
 2.47057540e+11 2.31291809e+11 2.02334810e+11 1.88853540e+11
 1.75984806e+11 1.52475795e+11 1.41595125e+11 1.31244805e+11
 1.12453597e+11 1.03815537e+11 9.56315603e+10 8.43869964e+10
 7.73671206e+10 7.07477661e+10]",sectional torsional stiffness
towerse.axial_stff,N,"[9.73663716e+10 9.54183747e+10 9.34703778e+10 8.59579585e+10
 8.41289233e+10 8.22998881e+10 7.52600983e+10 7.35500247e+10
 7.18399511e+10 6.52727910e+10 6.36816790e+10 6.20905671e+10
 5.59960365e+10 5.45238862e+10 5.30517358e+10 4.95051123e+10
 4.80924428e+10 4.66797733e+10]",sectional axial stiffness
towerse.cg_offst,m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],offset from the sectional center of mass
towerse.sc_offst,m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],offset from the sectional shear center
towerse.tc_offst,m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],offset from the sectional tension center
towerse.cm.cost,USD,[776832.81363731],
towerse.cm.mass,kg,"[19774.30906335 19378.6869218  18983.06478024 17457.35422279
 17085.89221202 16714.43020125 15284.70682254 14937.40494255
 14590.10306256 13256.3668626  12933.22511339 12610.08336419
 11372.33434297 11073.35272454 10774.37110612 10121.18280697
  9832.36644939  9543.55009181]",
towerse.cm.center_of_mass,m,[37.91580336],
towerse.cm.section_center_of_mass,m,"[ 2.42528838  7.29192774 12.15856019 17.02518779 21.89180518 26.75841424
 31.62501722 36.49160797 41.35818852 46.22476139 51.09131939 55.95786473
 60.82440021 65.69091733 70.55741848 75.44006801 80.33901226 85.23793579]",
towerse.cm.I_base,kg*m**2,"[5.26107244e+08 5.26107244e+08 1.65694529e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
towerse.structural_cost,USD,[776832.81363731],
towerse.structural_mass,kg,[255722.78509107],
towerse.tower_cost,USD,[776832.81363731],
towerse.tower_section_center_of_mass,m,"[ 2.42528838  7.29192774 12.15856019 17.02518779 21.89180518 26.75841424
 31.62501722 36.49160797 41.35818852 46.22476139 51.09131939 55.95786473
 60.82440021 65.69091733 70.55741848 75.44006801 80.33901226 85.23793579]",
towerse.monopile_cost,USD,[0.],
towerse.monopile_length,m,[0.],
towerse.constr_d_to_t,,"[222.23282443 222.25609756 222.2826087  222.31308411 222.34848485
 213.02631579]",
towerse.constr_taper,,[0.94083333 0.93711249 0.93289225 0.92806484 0.92248908 0.91597633],
towerse.slope,,[0.94083333 0.93711249 0.93289225 0.92806484 0.92248908 0.91597633],
towerse.turbine_mass,kg,[469315.9344719],
towerse.turb.turbine_center_of_mass,m,[-1.10407447  0.09623003 61.77766139],
towerse.turb.turbine_I_base,kg*m**2,"[ 2.30642145e+09  2.29441305e+09  2.35931362e+07  1.09586841e+05
  4.73267441e+07 -4.12290272e+06]",
towerse.soil.k,N/m,[0. 0. 0. 0. 0. 0.],
towerse.wind.U,m/s,"[ 0.         11.5475865  13.26469362 14.38518578 15.23713174 15.93254762
 16.52423925 17.04161824 17.50286817 17.920071   18.30169124 18.65390503
 18.98136644 19.28767567 19.57567884 19.84766751 20.10719291 20.35397244
 20.58933353]",
towerse.windLoads.windLoads_Px,N/m,"[  0.         332.38455851 436.3277805  504.89930274 555.58675894
 594.92545669 626.16961987 651.21278531 671.26956574 687.17294864
 699.52251385 708.7657054  715.24569527 719.23118419 720.93579879
 720.53118035 718.27886267 714.153556   708.24774484]",
towerse.windLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
towerse.windLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
towerse.windLoads.windLoads_qdyn,N/m**2,"[  0.          81.67488685 107.77065931 126.74681166 142.20423751
 155.48072005 167.24342065 177.88026079 187.63961634 196.69147868
 205.15804008 213.13050578 220.67901658 227.85884016 234.71441129
 241.28206724 247.6332642  253.7490689  259.65140122]",
towerse.windLoads.windLoads_z,m,"[ 0.          4.86680501  9.73361003 14.60041504 19.46722005 24.33402507
 29.20083008 34.0676351  38.93444011 43.80124512 48.66805014 53.53485515
 58.40166016 63.26846518 68.13527019 73.00207521 77.90136168 82.80064815
 87.69993462]",
towerse.windLoads.windLoads_d,m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
towerse.windLoads.windLoads_beta,deg,[0.],
towerse.distLoads.Px,N/m,"[  0.         332.38455851 436.3277805  504.89930274 555.58675894
 594.92545669 626.16961987 651.21278531 671.26956574 687.17294864
 699.52251385 708.7657054  715.24569527 719.23118419 720.93579879
 720.53118035 718.27886267 714.153556   708.24774484]",
towerse.distLoads.Py,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
towerse.distLoads.Pz,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
towerse.distLoads.qdyn,N/m**2,"[  0.          81.67488685 107.77065931 126.74681166 142.20423751
 155.48072005 167.24342065 177.88026079 187.63961634 196.69147868
 205.15804008 213.13050578 220.67901658 227.85884016 234.71441129
 241.28206724 247.6332642  253.7490689  259.65140122]",
towerse.pre.kidx,,[0.],
towerse.pre.kx,N/m,[1.e+30],
towerse.pre.ky,N/m,[1.e+30],
towerse.pre.kz,N/m,[1.e+30],
towerse.pre.ktx,N/m,[1.e+30],
towerse.pre.kty,N/m,[1.e+30],
towerse.pre.ktz,N/m,[1.e+30],
towerse.pre.midx,,[18.  0.  0.],
towerse.pre.m,kg,[213593.14938083      0.              0.        ],
towerse.pre.mIxx,kg*m**2,[36868494.65437168        0.                0.        ],
towerse.pre.mIyy,kg*m**2,[23612629.0367686        0.               0.       ],
towerse.pre.mIzz,kg*m**2,[20669628.07071253        0.                0.        ],
towerse.pre.mIxy,kg*m**2,[26.77585343  0.          0.        ],
towerse.pre.mIxz,kg*m**2,[513037.19210515      0.              0.        ],
towerse.pre.mIyz,kg*m**2,[-42666.55018782      0.              0.        ],
towerse.pre.mrhox,m,[-2.42591929  0.          0.        ],
towerse.pre.mrhoy,m,[0.21144071 0.         0.        ],
towerse.pre.mrhoz,m,[0.34609073 0.         0.        ],
towerse.pre.plidx,,[18.],
towerse.pre.Fx,N,[1121375.72099698],
towerse.pre.Fy,N,[-7097.79448108],
towerse.pre.Fz,N,[-1520933.81919917],
towerse.pre.Mxx,N*m,[6738530.6871539],
towerse.pre.Myy,N*m,[662788.87910296],
towerse.pre.Mzz,N*m,[647204.78304587],
towerse.tower.mass,kg,[238993.25750936],
towerse.tower.f1,Hz,[0.34124394],
towerse.tower.f2,Hz,[0.3447799],
towerse.tower.freqs,Hz,[0.34124394 0.3447799  1.40230125 1.75440314 2.04652187 4.48219275],
towerse.tower.x_mode_shapes,,"[[  0.96771188   0.19338247  -0.19172841   0.15466195  -0.12402789]
 [-46.76102344  22.79210808  18.41486948  19.2079344  -12.65388852]
 [-14.51481176  -5.0716234   75.68966677 -67.02227171  11.91904009]]",
towerse.tower.y_mode_shapes,,"[[ 9.58417390e-01  1.97584678e-01 -1.91488192e-01  1.58930100e-01
  -1.23443976e-01]
 [ 1.10217098e+03 -5.28178480e+02 -2.81884978e+02 -5.14970314e+02
   2.23862787e+02]
 [-1.49319283e+01 -3.10829654e+00  6.71139191e+01 -5.61535829e+01
   8.07988861e+00]]",
towerse.tower.x_mode_freqs,,[0.3447799  2.04652187 4.70430754],
towerse.tower.y_mode_freqs,,[0.34124394 1.75440314 4.48219275],
towerse.tower.top_deflection,m,[0.86263962],
towerse.tower.Fz_out,N,"[-5777917.9494705  -5600316.27146111 -5426340.39109839 -5266347.33496673
 -5109758.6469649  -4956574.33874463 -4816493.14898186 -4679594.89783209
 -4545879.60859879 -4424387.73204943 -4305857.38789969 -4190288.56449786
 -4086063.45965813 -3984578.4577012  -3885833.5702788  -3793075.01532149
 -3702963.40310576 -3615498.72776687]",
towerse.tower.Vx_out,N,"[1174863.25611322 1173090.58870438 1170893.92127311 1168385.25078944
 1165670.33455903 1162778.52479211 1159711.17373296 1156561.95713857
 1153318.90982664 1149953.78140919 1146576.43563636 1143152.96219373
 1139638.98587061 1136160.0137778  1132667.96905828 1129122.66108325
 1125607.79666689 1122104.57514604]",
towerse.tower.Vy_out,N,"[-7101.63751858 -7109.24759684 -7116.97792461 -7123.44757546
 -7131.45847717 -7139.60529141 -7144.95738566 -7153.45563371
 -7162.10850387 -7166.22828543 -7175.32018579 -7184.58877146
 -7187.32775936 -7197.14376293 -7207.16163273 -7213.67139893
 -7224.40677988 -7235.37375594]",
towerse.tower.Mxx_out,N*m,"[7341859.30567563 7303689.07161808 7263134.94618407 7220122.76016342
 7174559.1613608  7126440.48017333 7075653.71188031 7022048.74364024
 6965597.17886899 6906129.97981678 6843419.4903547  6777399.87365056
 6707819.36703744 6634340.99207355 6556841.33923106 6474502.50922589
 6387507.39452192 6295660.60408824]",
towerse.tower.Myy_out,N*m,"[94560821.73562679 88799025.04535972 83018571.74619079 77222113.06520294
 71411911.31495726 65591002.55228677 59761232.64853083 53924291.27691124
 48082988.54341277 42239122.57609585 36394381.15587717 30551768.28410468
 24713517.76515835 18881870.43454989 13060493.70934972  7214326.97419864
  1386349.57990358 -4418458.13156405]",
towerse.tower.Mzz_out,N*m,"[647304.7003177  647303.63931488 647302.59743099 647307.8426842
 647306.97842517 647306.14329361 647312.30261276 647311.69305621
 647311.12682694 647318.48307278 647318.20921984 647317.99922017
 647326.95376933 647327.13162525 647327.40368922 647332.9330524
 647333.54854304 647334.2938818 ]",
towerse.tower.base_F,N,[ 1175616.57016926    -7097.79448103 -5959145.41347482],
towerse.tower.base_M,N*m,[7.37762979e+06 1.00298729e+08 6.47204783e+05],
towerse.tower.axial_stress,N/m**2,"[-1.44205171e+08 -1.41196517e+08 -1.37806443e+08 -1.42621863e+08
 -1.38102429e+08 -1.33046915e+08 -1.36171392e+08 -1.29464262e+08
 -1.21991388e+08 -1.22090324e+08 -1.12192609e+08 -1.01217340e+08
 -9.62313749e+07 -8.19186612e+07 -6.65659219e+07 -5.32715645e+07
 -4.25156608e+07 -4.93647676e+07]",
towerse.tower.shear_stress,N/m**2,"[4826655.03457089 4917761.94602984 5010851.8973942  5437108.9571621
 5542408.50082888 5651528.67683183 6163867.49016385 6290054.06122378
 6421725.68249749 7047200.48320118 7202064.42309199 7364568.19968389
 8141016.55229291 8335303.21494599 8540273.98173414 9123467.46564765
 9362227.53007944 9615538.56861241]",
towerse.tower.hoop_stress,N/m**2,"[ -4609.5134377  -10477.8933133  -12705.93876852 -15200.19857418
 -16466.15300321 -17463.07115967 -19536.37622128 -20220.79798573
 -20767.10791917 -22789.1553606  -23143.18203301 -23402.23308412
 -25490.95763183 -25597.47208501 -25629.08480403 -26676.97886285
 -26576.56222202 -26414.22901172]",
towerse.tower.hoop_stress_euro,N/m**2,"[ -3576.0249485   -8078.89391963  -9736.14217469 -11648.21801807
 -12537.63409073 -13210.64274752 -14780.16385443 -15195.47890578
 -15500.15487939 -17010.70348879 -17153.39465371 -17221.70048688
 -18760.36895304 -18699.01243335 -18581.23814525 -19266.07085039
 -19043.8763792  -18777.69770046]",
towerse.post.structural_frequencies,Hz,[0.34124394 0.3447799  1.40230125 1.75440314 2.04652187 4.48219275],First and second natural frequency
towerse.post.fore_aft_modes,,"[[  0.96771188   0.19338247  -0.19172841   0.15466195  -0.12402789]
 [-46.76102344  22.79210808  18.41486948  19.2079344  -12.65388852]
 [-14.51481176  -5.0716234   75.68966677 -67.02227171  11.91904009]]","6-degree polynomial coefficients of mode shapes in the tower fore-aft direction (x^2..x^6, no linear or constant term)"
towerse.post.side_side_modes,,"[[ 9.58417390e-01  1.97584678e-01 -1.91488192e-01  1.58930100e-01
  -1.23443976e-01]
 [ 1.10217098e+03 -5.28178480e+02 -2.81884978e+02 -5.14970314e+02
   2.23862787e+02]
 [-1.49319283e+01 -3.10829654e+00  6.71139191e+01 -5.61535829e+01
   8.07988861e+00]]","6-degree polynomial coefficients of mode shapes in the tower side-side direction (x^2..x^6, no linear or constant term)"
towerse.post.fore_aft_freqs,,[0.3447799  2.04652187 4.70430754],Frequencies associated with mode shapes in the tower fore-aft direction
towerse.post.side_side_freqs,,[0.34124394 1.75440314 4.48219275],Frequencies associated with mode shapes in the tower side-side direction
towerse.post.top_deflection,m,[0.86263962],Deflection of tower top in yaw-aligned +x direction
towerse.post.stress,,"[0.73478803 0.7195458  0.70237958 0.72706154 0.70418445 0.67859969
 0.69478619 0.66086834 0.62309972 0.62412126 0.57419249 0.51891738
 0.49470491 0.42309192 0.34683175 0.2826145  0.23142723 0.26497768]",Von Mises stress utilization along tower at specified locations.  incudes safety factor.
towerse.post.shell_buckling,,"[0.76076172 0.72285843 0.68277178 0.74702008 0.69521444 0.64094852
 0.68906491 0.61995393 0.54869108 0.56869725 0.48089741 0.39331025
 0.37433195 0.27625056 0.18798788 0.12973495 0.08666919 0.10930044]",Shell buckling constraint.  Should be < 1 for feasibility.  Includes safety factors
